delta,limit,batch_size,threads,cached,device_type,cpu,memory,consumption,timestamp,gpu
244,100,10000,1,True,PC,0,17,69,2024-03-22 08:27:28.947249,0
22,100,10000,1,True,PC,3,17,72,2024-03-22 08:27:28.971255,0
21,100,10000,1,True,PC,6,17,74,2024-03-22 08:27:28.993480,0
20,100,10000,1,True,PC,6,17,74,2024-03-22 08:27:29.014711,0
21,100,10000,1,True,PC,3,17,72,2024-03-22 08:27:29.037445,0
21,100,10000,1,True,PC,0,17,69,2024-03-22 08:27:29.059547,0
20,100,10000,1,True,PC,0,17,69,2024-03-22 08:27:29.080689,0
20,100,10000,1,True,PC,6,17,74,2024-03-22 08:27:29.103200,0
20,100,10000,1,True,PC,0,17,69,2024-03-22 08:27:29.125739,0
20,100,10000,1,True,PC,0,17,69,2024-03-22 08:27:29.146771,0
61,100,10000,1,False,PC,0,17,69,2024-03-22 08:27:29.211054,0
41,100,10000,1,False,PC,0,17,69,2024-03-22 08:27:29.254637,0
46,100,10000,1,False,PC,0,17,69,2024-03-22 08:27:29.302739,0
43,100,10000,1,False,PC,0,17,69,2024-03-22 08:27:29.346833,0
43,100,10000,1,False,PC,2,17,72,2024-03-22 08:27:29.391122,0
41,100,10000,1,False,PC,0,17,69,2024-03-22 08:27:29.436060,0
43,100,10000,1,False,PC,2,17,71,2024-03-22 08:27:29.481219,0
53,100,10000,1,False,PC,0,17,69,2024-03-22 08:27:29.535827,0
42,100,10000,1,False,PC,2,17,71,2024-03-22 08:27:29.579916,0
41,100,10000,1,False,PC,0,17,69,2024-03-22 08:27:29.623815,0
45,100,10000,5,True,PC,0,17,69,2024-03-22 08:27:29.671172,0
23,100,10000,5,True,PC,0,17,69,2024-03-22 08:27:29.695306,0
22,100,10000,5,True,PC,0,17,69,2024-03-22 08:27:29.720811,0
22,100,10000,5,True,PC,0,17,69,2024-03-22 08:27:29.744816,0
22,100,10000,5,True,PC,0,17,69,2024-03-22 08:27:29.768822,0
23,100,10000,5,True,PC,0,17,69,2024-03-22 08:27:29.792828,0
22,100,10000,5,True,PC,0,17,69,2024-03-22 08:27:29.815830,0
21,100,10000,5,True,PC,0,17,69,2024-03-22 08:27:29.839010,0
22,100,10000,5,True,PC,0,17,69,2024-03-22 08:27:29.863016,0
22,100,10000,5,True,PC,0,17,69,2024-03-22 08:27:29.886022,0
44,100,10000,5,False,PC,0,17,69,2024-03-22 08:27:29.932355,0
44,100,10000,5,False,PC,0,17,69,2024-03-22 08:27:29.978840,0
45,100,10000,5,False,PC,0,17,69,2024-03-22 08:27:30.025360,0
44,100,10000,5,False,PC,0,17,69,2024-03-22 08:27:30.071514,0
45,100,10000,5,False,PC,2,17,71,2024-03-22 08:27:30.117819,0
44,100,10000,5,False,PC,2,17,71,2024-03-22 08:27:30.164039,0
45,100,10000,5,False,PC,0,17,69,2024-03-22 08:27:30.212252,0
50,100,10000,5,False,PC,0,17,69,2024-03-22 08:27:30.263780,0
45,100,10000,5,False,PC,0,17,69,2024-03-22 08:27:30.311849,0
45,100,10000,5,False,PC,1,17,71,2024-03-22 08:27:30.359869,0
47,100,10000,10,True,PC,1,17,71,2024-03-22 08:27:30.408354,0
25,100,10000,10,True,PC,0,17,69,2024-03-22 08:27:30.434861,0
25,100,10000,10,True,PC,0,17,69,2024-03-22 08:27:30.461868,0
25,100,10000,10,True,PC,3,17,72,2024-03-22 08:27:30.487874,0
26,100,10000,10,True,PC,6,17,74,2024-03-22 08:27:30.514877,0
25,100,10000,10,True,PC,0,17,69,2024-03-22 08:27:30.542385,0
25,100,10000,10,True,PC,0,17,69,2024-03-22 08:27:30.568392,0
24,100,10000,10,True,PC,4,17,73,2024-03-22 08:27:30.594398,0
25,100,10000,10,True,PC,0,17,69,2024-03-22 08:27:30.621904,0
26,100,10000,10,True,PC,0,17,69,2024-03-22 08:27:30.649910,0
47,100,10000,10,False,PC,2,17,71,2024-03-22 08:27:30.698994,0
47,100,10000,10,False,PC,0,17,69,2024-03-22 08:27:30.748140,0
48,100,10000,10,False,PC,0,17,69,2024-03-22 08:27:30.797390,0
55,100,10000,10,False,PC,0,17,69,2024-03-22 08:27:30.856209,0
47,100,10000,10,False,PC,0,17,69,2024-03-22 08:27:30.905273,0
48,100,10000,10,False,PC,1,17,70,2024-03-22 08:27:30.955544,0
47,100,10000,10,False,PC,0,17,69,2024-03-22 08:27:31.004852,0
46,100,10000,10,False,PC,2,17,71,2024-03-22 08:27:31.053743,0
47,100,10000,10,False,PC,0,17,69,2024-03-22 08:27:31.102846,0
53,100,10000,10,False,PC,0,17,69,2024-03-22 08:27:31.158582,0
50,100,10000,20,True,PC,2,17,71,2024-03-22 08:27:31.209830,0
27,100,10000,20,True,PC,0,17,69,2024-03-22 08:27:31.239591,0
29,100,10000,20,True,PC,0,17,69,2024-03-22 08:27:31.270697,0
29,100,10000,20,True,PC,0,17,69,2024-03-22 08:27:31.301733,0
26,100,10000,20,True,PC,0,17,69,2024-03-22 08:27:31.330252,0
30,100,10000,20,True,PC,0,17,69,2024-03-22 08:27:31.361268,0
28,100,10000,20,True,PC,0,17,69,2024-03-22 08:27:31.391466,0
28,100,10000,20,True,PC,4,17,73,2024-03-22 08:27:31.421532,0
27,100,10000,20,True,PC,0,17,69,2024-03-22 08:27:31.450968,0
28,100,10000,20,True,PC,0,17,69,2024-03-22 08:27:31.486530,0
49,100,10000,20,False,PC,0,17,69,2024-03-22 08:27:31.538415,0
51,100,10000,20,False,PC,0,17,69,2024-03-22 08:27:31.590785,0
65,100,10000,20,False,PC,0,17,69,2024-03-22 08:27:31.657989,0
51,100,10000,20,False,PC,0,17,69,2024-03-22 08:27:31.711710,0
52,100,10000,20,False,PC,1,17,71,2024-03-22 08:27:31.765938,0
51,100,10000,20,False,PC,0,17,69,2024-03-22 08:27:31.819843,0
50,100,10000,20,False,PC,0,17,69,2024-03-22 08:27:31.870897,0
55,100,10000,20,False,PC,0,17,69,2024-03-22 08:27:31.928074,0
50,100,10000,20,False,PC,0,17,69,2024-03-22 08:27:31.979460,0
49,100,10000,20,False,PC,1,17,70,2024-03-22 08:27:32.032353,0
44,100,1000,1,True,PC,0,17,69,2024-03-22 08:27:32.077434,0
22,100,1000,1,True,PC,6,17,74,2024-03-22 08:27:32.100438,0
20,100,1000,1,True,PC,0,17,69,2024-03-22 08:27:32.122940,0
21,100,1000,1,True,PC,6,17,74,2024-03-22 08:27:32.144945,0
20,100,1000,1,True,PC,6,17,74,2024-03-22 08:27:32.165950,0
20,100,1000,1,True,PC,0,17,69,2024-03-22 08:27:32.188440,0
21,100,1000,1,True,PC,3,17,72,2024-03-22 08:27:32.210498,0
20,100,1000,1,True,PC,0,17,69,2024-03-22 08:27:32.231537,0
21,100,1000,1,True,PC,0,17,69,2024-03-22 08:27:32.253542,0
21,100,1000,1,True,PC,0,17,69,2024-03-22 08:27:32.275548,0
44,100,1000,1,False,PC,0,17,69,2024-03-22 08:27:32.321839,0
43,100,1000,1,False,PC,0,17,69,2024-03-22 08:27:32.367868,0
54,100,1000,1,False,PC,0,17,69,2024-03-22 08:27:32.424857,0
61,100,1000,1,False,PC,3,17,72,2024-03-22 08:27:32.488073,0
43,100,1000,1,False,PC,2,17,71,2024-03-22 08:27:32.533648,0
44,100,1000,1,False,PC,0,17,69,2024-03-22 08:27:32.579100,0
43,100,1000,1,False,PC,0,17,69,2024-03-22 08:27:32.624687,0
43,100,1000,1,False,PC,0,17,69,2024-03-22 08:27:32.669943,0
44,100,1000,1,False,PC,0,17,69,2024-03-22 08:27:32.715148,0
55,100,1000,1,False,PC,3,17,72,2024-03-22 08:27:32.772186,0
53,100,1000,5,True,PC,0,17,69,2024-03-22 08:27:32.827781,0
22,100,1000,5,True,PC,0,17,69,2024-03-22 08:27:32.851812,0
22,100,1000,5,True,PC,5,17,74,2024-03-22 08:27:32.874817,0
23,100,1000,5,True,PC,0,17,69,2024-03-22 08:27:32.899936,0
22,100,1000,5,True,PC,0,17,69,2024-03-22 08:27:32.923644,0
23,100,1000,5,True,PC,0,17,69,2024-03-22 08:27:32.947974,0
22,100,1000,5,True,PC,0,17,69,2024-03-22 08:27:32.971973,0
21,100,1000,5,True,PC,0,17,69,2024-03-22 08:27:32.994979,0
23,100,1000,5,True,PC,0,17,69,2024-03-22 08:27:33.019506,0
22,100,1000,5,True,PC,0,17,69,2024-03-22 08:27:33.042545,0
46,100,1000,5,False,PC,0,17,69,2024-03-22 08:27:33.090629,0
44,100,1000,5,False,PC,2,17,71,2024-03-22 08:27:33.136510,0
44,100,1000,5,False,PC,2,17,71,2024-03-22 08:27:33.181538,0
43,100,1000,5,False,PC,2,17,71,2024-03-22 08:27:33.228166,0
45,100,1000,5,False,PC,2,17,71,2024-03-22 08:27:33.274363,0
43,100,1000,5,False,PC,2,17,71,2024-03-22 08:27:33.319955,0
45,100,1000,5,False,PC,0,17,69,2024-03-22 08:27:33.366228,0
44,100,1000,5,False,PC,0,17,69,2024-03-22 08:27:33.413867,0
47,100,1000,5,False,PC,0,17,69,2024-03-22 08:27:33.463273,0
45,100,1000,5,False,PC,0,17,69,2024-03-22 08:27:33.511536,0
55,100,1000,10,True,PC,0,17,69,2024-03-22 08:27:33.569155,0
24,100,1000,10,True,PC,0,17,69,2024-03-22 08:27:33.595161,0
24,100,1000,10,True,PC,5,17,74,2024-03-22 08:27:33.621174,0
24,100,1000,10,True,PC,0,17,69,2024-03-22 08:27:33.646828,0
24,100,1000,10,True,PC,3,17,72,2024-03-22 08:27:33.673978,0
25,100,1000,10,True,PC,6,17,74,2024-03-22 08:27:33.699985,0
26,100,1000,10,True,PC,0,17,69,2024-03-22 08:27:33.727489,0
26,100,1000,10,True,PC,0,17,69,2024-03-22 08:27:33.754514,0
24,100,1000,10,True,PC,0,17,69,2024-03-22 08:27:33.779520,0
25,100,1000,10,True,PC,3,17,72,2024-03-22 08:27:33.805523,0
