delta,fps,pixel,device_type,cpu,memory,consumption,gpu,in_time,cumm_net_delay,viewer_satisfaction,energy
29,35,480,Orin,21,72,6,80,False,39,480,6
37,35,720,Orin,48,72,7,80,False,47,720,7
29,25,480,Orin,25,72,6,65,True,39,480,6
39,30,720,Orin,33,72,6,75,False,49,720,6
32,35,720,Orin,34,72,6,80,False,42,720,6
40,15,1080,Orin,19,71,6,30,True,50,1080,6
45,35,1080,Orin,29,72,6,80,False,55,1080,6
30,20,480,Orin,19,72,6,40,True,40,480,6
44,25,1080,Orin,26,72,6,65,False,54,1080,6
30,15,480,Orin,14,72,6,30,True,40,480,6
30,35,480,Orin,26,72,6,80,False,40,480,6
46,30,1080,Orin,22,72,6,75,False,56,1080,6
30,20,480,Orin,18,72,6,40,True,40,480,6
36,25,720,Orin,32,72,6,65,True,46,720,6
48,25,1080,Orin,24,72,6,65,False,58,1080,6
46,35,1080,Orin,28,72,6,80,False,56,1080,6
41,20,1080,Orin,46,72,7,40,True,51,1080,7
30,15,480,Orin,20,72,6,30,True,40,480,6
32,20,720,Orin,23,72,6,40,True,42,720,6
48,35,1080,Orin,25,72,6,80,False,58,1080,6
33,30,720,Orin,33,72,6,75,True,43,720,6
32,25,480,Orin,21,72,6,65,True,42,480,6
29,30,480,Orin,33,72,6,75,True,39,480,6
35,25,720,Orin,21,72,6,65,True,45,720,6
37,30,720,Orin,28,72,6,75,False,47,720,6
29,15,480,Orin,17,72,6,30,True,39,480,6
41,15,1080,Orin,20,71,6,30,True,51,1080,6
30,25,480,Orin,23,72,6,65,True,40,480,6
32,30,720,Orin,32,72,6,75,True,42,720,6
39,25,720,Orin,27,72,6,65,True,49,720,6
45,30,1080,Orin,28,72,6,75,False,55,1080,6
33,35,720,Orin,31,72,6,80,False,43,720,6
31,25,480,Orin,28,72,6,65,True,41,480,6
39,30,720,Orin,30,72,6,75,False,49,720,6
36,35,720,Orin,28,72,6,80,False,46,720,6
42,15,1080,Orin,20,71,6,30,True,52,1080,6
46,25,1080,Orin,21,72,6,65,False,56,1080,6
58,15,1080,Orin,41,71,7,30,True,68,1080,7
37,20,720,Orin,30,72,6,40,True,47,720,6
42,15,1080,Orin,20,71,6,30,True,52,1080,6
39,35,720,Orin,22,72,6,80,False,49,720,6
36,25,720,Orin,32,72,6,65,True,46,720,6
43,15,1080,Orin,19,71,6,30,True,53,1080,6
46,25,1080,Orin,21,72,6,65,False,56,1080,6
33,25,720,Orin,27,72,6,65,True,43,720,6
28,25,480,Orin,11,72,6,65,True,38,480,6
32,25,720,Orin,30,72,6,65,True,42,720,6
46,30,1080,Orin,29,72,6,75,False,56,1080,6
44,35,1080,Orin,26,72,6,80,False,54,1080,6
43,25,1080,Orin,26,72,6,65,False,53,1080,6
35,30,720,Orin,34,72,6,75,False,45,720,6
34,35,480,Orin,33,72,6,80,False,44,480,6
31,20,720,Orin,25,72,6,40,True,41,720,6
39,30,720,Orin,27,72,6,75,False,49,720,6
42,15,1080,Orin,22,71,6,30,True,52,1080,6
33,25,480,Orin,28,72,6,65,True,43,480,6
40,15,1080,Orin,20,71,6,30,True,50,1080,6
33,35,480,Orin,27,72,6,80,False,43,480,6
32,35,720,Orin,31,72,6,80,False,42,720,6
34,15,720,Orin,22,72,6,30,True,44,720,6
34,15,720,Orin,20,72,6,30,True,44,720,6
36,35,720,Orin,34,72,6,80,False,46,720,6
29,35,480,Orin,35,72,6,80,False,39,480,6
37,25,720,Orin,28,72,6,65,True,47,720,6
35,35,480,Orin,25,72,6,80,False,45,480,6
29,15,480,Orin,20,72,6,30,True,39,480,6
37,30,720,Orin,36,72,6,75,False,47,720,6
45,30,1080,Orin,31,72,6,75,False,55,1080,6
28,25,480,Orin,30,72,6,65,True,38,480,6
30,25,480,Orin,51,72,7,65,True,40,480,7
37,15,720,Orin,19,72,6,30,True,47,720,6
30,15,480,Orin,16,72,6,30,True,40,480,6
45,35,1080,Orin,23,72,6,80,False,55,1080,6
49,30,1080,Orin,22,72,6,75,False,59,1080,6
30,20,480,Orin,22,72,6,40,True,40,480,6
30,15,480,Orin,16,72,6,30,True,40,480,6
40,15,1080,Orin,15,71,6,30,True,50,1080,6
32,25,720,Orin,32,72,6,65,True,42,720,6
37,30,720,Orin,33,72,6,75,False,47,720,6
