size,delta,device_type,cpu,memory,consumption,timestamp,gpu
10,105,PC,1,19,71,2024-03-19 17:25:14.887629,0
10,27,PC,6,19,74,2024-03-19 17:25:14.916636,0
10,25,PC,3,19,72,2024-03-19 17:25:14.943644,0
10,23,PC,5,19,74,2024-03-19 17:25:14.969221,0
10,24,PC,0,19,69,2024-03-19 17:25:14.995565,0
10,24,PC,0,19,69,2024-03-19 17:25:15.021898,0
10,23,PC,11,19,79,2024-03-19 17:25:15.047572,0
10,24,PC,3,19,72,2024-03-19 17:25:15.072965,0
10,24,PC,6,19,74,2024-03-19 17:25:15.100896,0
10,24,PC,0,19,69,2024-03-19 17:25:15.127422,0
10,25,PC,0,19,69,2024-03-19 17:25:15.154501,0
10,25,PC,3,19,72,2024-03-19 17:25:15.181700,0
10,23,PC,3,19,72,2024-03-19 17:25:15.206942,0
10,23,PC,0,19,69,2024-03-19 17:25:15.232431,0
10,24,PC,6,19,74,2024-03-19 17:25:15.257956,0
10,23,PC,0,19,69,2024-03-19 17:25:15.283540,0
10,25,PC,0,19,69,2024-03-19 17:25:15.310612,0
10,25,PC,6,19,74,2024-03-19 17:25:15.337862,0
10,24,PC,3,19,72,2024-03-19 17:25:15.364854,0
10,24,PC,4,19,73,2024-03-19 17:25:15.391640,0
10,24,PC,3,19,72,2024-03-19 17:25:15.417646,0
10,25,PC,6,19,74,2024-03-19 17:25:15.445130,0
10,24,PC,3,19,72,2024-03-19 17:25:15.472011,0
10,24,PC,0,19,69,2024-03-19 17:25:15.498984,0
10,24,PC,6,19,74,2024-03-19 17:25:15.525641,0
10,24,PC,0,19,69,2024-03-19 17:25:15.553185,0
10,23,PC,3,19,72,2024-03-19 17:25:15.579329,0
10,25,PC,0,19,69,2024-03-19 17:25:15.607639,0
10,25,PC,0,19,69,2024-03-19 17:25:15.634097,0
10,23,PC,0,19,69,2024-03-19 17:25:15.659338,0
10,24,PC,0,19,69,2024-03-19 17:25:15.686093,0
10,25,PC,3,19,72,2024-03-19 17:25:15.713840,0
10,23,PC,0,19,69,2024-03-19 17:25:15.740593,0
10,25,PC,3,19,72,2024-03-19 17:25:15.768066,0
10,26,PC,6,19,74,2024-03-19 17:25:15.796148,0
10,25,PC,3,19,72,2024-03-19 17:25:15.823917,0
10,23,PC,3,19,72,2024-03-19 17:25:15.849788,0
10,24,PC,3,19,72,2024-03-19 17:25:15.876010,0
10,25,PC,6,19,74,2024-03-19 17:25:15.903247,0
10,23,PC,0,19,69,2024-03-19 17:25:15.928800,0
10,26,PC,6,19,74,2024-03-19 17:25:15.956923,0
10,24,PC,0,19,69,2024-03-19 17:25:15.983798,0
10,24,PC,6,19,74,2024-03-19 17:25:16.010297,0
10,24,PC,6,19,74,2024-03-19 17:25:16.037184,0
10,23,PC,5,19,74,2024-03-19 17:25:16.062426,0
10,24,PC,0,19,69,2024-03-19 17:25:16.088585,0
10,23,PC,3,19,72,2024-03-19 17:25:16.114028,0
10,23,PC,0,19,69,2024-03-19 17:25:16.139866,0
10,24,PC,0,19,69,2024-03-19 17:25:16.166121,0
10,24,PC,3,19,72,2024-03-19 17:25:16.193493,0
10,24,PC,6,19,74,2024-03-19 17:25:16.219610,0
10,24,PC,6,19,74,2024-03-19 17:25:16.246456,0
10,25,PC,0,19,69,2024-03-19 17:25:16.273661,0
10,24,PC,6,19,74,2024-03-19 17:25:16.299963,0
10,22,PC,0,19,69,2024-03-19 17:25:16.324395,0
10,22,PC,0,19,69,2024-03-19 17:25:16.348996,0
10,22,PC,0,19,69,2024-03-19 17:25:16.374000,0
10,27,PC,3,19,72,2024-03-19 17:25:16.403669,0
10,26,PC,0,19,69,2024-03-19 17:25:16.431949,0
10,24,PC,0,19,69,2024-03-19 17:25:16.458815,0
10,24,PC,5,19,74,2024-03-19 17:25:16.484304,0
10,24,PC,0,19,69,2024-03-19 17:25:16.510553,0
10,23,PC,3,19,72,2024-03-19 17:25:16.535688,0
10,22,PC,0,19,69,2024-03-19 17:25:16.560622,0
10,25,PC,3,19,72,2024-03-19 17:25:16.588625,0
10,23,PC,0,19,69,2024-03-19 17:25:16.614806,0
10,25,PC,8,19,76,2024-03-19 17:25:16.642140,0
10,24,PC,4,19,73,2024-03-19 17:25:16.668146,0
10,24,PC,6,19,74,2024-03-19 17:25:16.694488,0
10,23,PC,0,19,69,2024-03-19 17:25:16.719926,0
10,25,PC,0,19,69,2024-03-19 17:25:16.747081,0
10,23,PC,6,19,74,2024-03-19 17:25:16.772087,0
10,23,PC,3,19,72,2024-03-19 17:25:16.797904,0
10,24,PC,0,19,69,2024-03-19 17:25:16.824803,0
10,25,PC,0,19,69,2024-03-19 17:25:16.852054,0
10,24,PC,0,19,69,2024-03-19 17:25:16.878945,0
10,25,PC,0,19,69,2024-03-19 17:25:16.906306,0
10,23,PC,6,19,74,2024-03-19 17:25:16.931309,0
10,22,PC,3,19,72,2024-03-19 17:25:16.956025,0
10,22,PC,0,19,69,2024-03-19 17:25:16.980300,0
10,24,PC,6,19,74,2024-03-19 17:25:17.005306,0
10,23,PC,5,19,74,2024-03-19 17:25:17.031477,0
10,25,PC,3,19,72,2024-03-19 17:25:17.058986,0
10,24,PC,0,19,69,2024-03-19 17:25:17.085360,0
10,24,PC,3,19,72,2024-03-19 17:25:17.111824,0
10,23,PC,0,19,69,2024-03-19 17:25:17.136400,0
10,24,PC,6,19,74,2024-03-19 17:25:17.162403,0
10,23,PC,6,19,74,2024-03-19 17:25:17.187133,0
10,24,PC,0,19,69,2024-03-19 17:25:17.213982,0
10,23,PC,6,19,74,2024-03-19 17:25:17.239874,0
10,24,PC,6,19,74,2024-03-19 17:25:17.266451,0
10,25,PC,6,19,74,2024-03-19 17:25:17.293458,0
10,23,PC,0,19,69,2024-03-19 17:25:17.318576,0
10,23,PC,0,19,69,2024-03-19 17:25:17.344318,0
10,22,PC,0,19,69,2024-03-19 17:25:17.368598,0
10,22,PC,0,19,69,2024-03-19 17:25:17.393593,0
10,24,PC,0,19,69,2024-03-19 17:25:17.420051,0
10,25,PC,3,19,72,2024-03-19 17:25:17.448128,0
10,23,PC,0,19,69,2024-03-19 17:25:17.474062,0
10,24,PC,0,19,69,2024-03-19 17:25:17.500506,0
10,25,PC,0,19,69,2024-03-19 17:25:17.527563,0
10,24,PC,6,19,74,2024-03-19 17:25:17.553091,0
10,23,PC,6,19,75,2024-03-19 17:25:17.578710,0
10,23,PC,5,19,74,2024-03-19 17:25:17.603956,0
10,24,PC,0,19,69,2024-03-19 17:25:17.631023,0
10,24,PC,4,19,72,2024-03-19 17:25:17.657260,0
10,25,PC,0,19,69,2024-03-19 17:25:17.684663,0
10,23,PC,0,19,69,2024-03-19 17:25:17.710273,0
10,24,PC,3,19,72,2024-03-19 17:25:17.736930,0
10,24,PC,6,19,74,2024-03-19 17:25:17.763043,0
10,23,PC,6,19,74,2024-03-19 17:25:17.788168,0
