day,interval,detid,flow,occ,error,city,speed
2017-05-06,0,06.X-2li,12,0,1,augsburg,
2017-05-06,300,06.X-2li,12,0,1,augsburg,
2017-05-06,600,06.X-2li,12,0,1,augsburg,
2017-05-06,900,06.X-2li,16,0,1,augsburg,
2017-05-06,1200,06.X-2li,16,0,1,augsburg,
2017-05-06,1500,06.X-2li,16,0,1,augsburg,
2017-05-06,1800,06.X-2li,20,0,1,augsburg,
2017-05-06,2100,06.X-2li,20,0,1,augsburg,
2017-05-06,2400,06.X-2li,20,0,1,augsburg,
2017-05-06,2700,06.X-2li,8,0.01,1,augsburg,
2017-05-06,3000,06.X-2li,8,0.01,1,augsburg,
2017-05-06,3300,06.X-2li,8,0.01,1,augsburg,
2017-05-06,3600,06.X-2li,4,0,1,augsburg,
2017-05-06,3900,06.X-2li,4,0,1,augsburg,
2017-05-06,4200,06.X-2li,4,0,1,augsburg,
2017-05-06,4500,06.X-2li,0,0,1,augsburg,
2017-05-06,4800,06.X-2li,0,0,1,augsburg,
2017-05-06,5100,06.X-2li,0,0,1,augsburg,
2017-05-06,5400,06.X-2li,4,0,1,augsburg,
2017-05-06,5700,06.X-2li,4,0,1,augsburg,
2017-05-06,6000,06.X-2li,4,0,1,augsburg,
2017-05-06,6300,06.X-2li,8,0,1,augsburg,
2017-05-06,6600,06.X-2li,8,0,1,augsburg,
2017-05-06,6900,06.X-2li,8,0,1,augsburg,
2017-05-06,7200,06.X-2li,0,0,1,augsburg,
2017-05-06,7500,06.X-2li,0,0,1,augsburg,
2017-05-06,7800,06.X-2li,0,0,1,augsburg,
2017-05-06,8100,06.X-2li,16,0,1,augsburg,
2017-05-06,8400,06.X-2li,16,0,1,augsburg,
2017-05-06,8700,06.X-2li,16,0,1,augsburg,
2017-05-06,9000,06.X-2li,8,0,1,augsburg,
2017-05-06,9300,06.X-2li,8,0,1,augsburg,
2017-05-06,9600,06.X-2li,8,0,1,augsburg,
2017-05-06,9900,06.X-2li,4,0,1,augsburg,
2017-05-06,10200,06.X-2li,4,0,1,augsburg,
2017-05-06,10500,06.X-2li,4,0,1,augsburg,
2017-05-06,10800,06.X-2li,12,0,1,augsburg,
2017-05-06,11100,06.X-2li,12,0,1,augsburg,
2017-05-06,11400,06.X-2li,12,0,1,augsburg,
2017-05-06,11700,06.X-2li,4,0,1,augsburg,
2017-05-06,12000,06.X-2li,4,0,1,augsburg,
2017-05-06,12300,06.X-2li,4,0,1,augsburg,
2017-05-06,12600,06.X-2li,8,0,1,augsburg,
2017-05-06,12900,06.X-2li,8,0,1,augsburg,
2017-05-06,13200,06.X-2li,8,0,1,augsburg,
2017-05-06,13500,06.X-2li,0,0,1,augsburg,
2017-05-06,13800,06.X-2li,0,0,1,augsburg,
2017-05-06,14100,06.X-2li,0,0,1,augsburg,
2017-05-06,14400,06.X-2li,0,0,1,augsburg,
2017-05-06,14700,06.X-2li,0,0,1,augsburg,
2017-05-06,15000,06.X-2li,0,0,1,augsburg,
2017-05-06,15300,06.X-2li,0,0,1,augsburg,
2017-05-06,15600,06.X-2li,0,0,1,augsburg,
2017-05-06,15900,06.X-2li,0,0,1,augsburg,
2017-05-06,16200,06.X-2li,8,0,1,augsburg,
2017-05-06,16500,06.X-2li,8,0,1,augsburg,
2017-05-06,16800,06.X-2li,8,0,1,augsburg,
2017-05-06,17100,06.X-2li,12,0,1,augsburg,
2017-05-06,17400,06.X-2li,12,0,1,augsburg,
2017-05-06,17700,06.X-2li,12,0,1,augsburg,
2017-05-06,18000,06.X-2li,16,0,1,augsburg,
2017-05-06,18300,06.X-2li,16,0,1,augsburg,
