batch_size,delta,device_type,cpu,memory,consumption,timestamp,gpu
10,140,Laptop,8,78,19,2024-03-19 17:51:21.337651,0
10,33,Laptop,7,78,19,2024-03-19 17:51:21.371074,0
10,34,Laptop,13,78,19,2024-03-19 17:51:21.405585,0
10,32,Laptop,11,78,19,2024-03-19 17:51:21.438546,0
10,31,Laptop,7,78,19,2024-03-19 17:51:21.471051,0
10,36,Laptop,11,78,19,2024-03-19 17:51:21.507477,0
10,32,Laptop,5,78,19,2024-03-19 17:51:21.540138,0
10,45,Laptop,13,78,19,2024-03-19 17:51:21.585776,0
10,30,Laptop,6,78,19,2024-03-19 17:51:21.616642,0
10,30,Laptop,6,78,19,2024-03-19 17:51:21.647722,0
10,31,Laptop,6,78,19,2024-03-19 17:51:21.679549,0
10,31,Laptop,7,78,19,2024-03-19 17:51:21.711671,0
10,30,Laptop,8,78,19,2024-03-19 17:51:21.743002,0
10,36,Laptop,13,78,19,2024-03-19 17:51:21.779612,0
10,32,Laptop,9,78,19,2024-03-19 17:51:21.813032,0
10,33,Laptop,9,78,19,2024-03-19 17:51:21.847107,0
10,32,Laptop,13,78,19,2024-03-19 17:51:21.880053,0
10,33,Laptop,7,78,19,2024-03-19 17:51:21.913995,0
10,32,Laptop,7,78,19,2024-03-19 17:51:21.946793,0
10,33,Laptop,11,78,19,2024-03-19 17:51:21.980958,0
10,32,Laptop,11,78,19,2024-03-19 17:51:22.013550,0
10,31,Laptop,6,78,19,2024-03-19 17:51:22.045228,0
10,31,Laptop,8,78,19,2024-03-19 17:51:22.077123,0
10,34,Laptop,7,78,19,2024-03-19 17:51:22.111916,0
10,38,Laptop,12,78,19,2024-03-19 17:51:22.150783,0
10,36,Laptop,9,78,19,2024-03-19 17:51:22.187313,0
10,34,Laptop,17,78,19,2024-03-19 17:51:22.222688,0
10,34,Laptop,11,78,19,2024-03-19 17:51:22.257298,0
10,33,Laptop,16,78,19,2024-03-19 17:51:22.290777,0
10,33,Laptop,15,78,19,2024-03-19 17:51:22.324726,0
10,31,Laptop,9,78,19,2024-03-19 17:51:22.356771,0
10,34,Laptop,16,78,19,2024-03-19 17:51:22.391621,0
10,37,Laptop,11,78,19,2024-03-19 17:51:22.430006,0
10,31,Laptop,6,78,19,2024-03-19 17:51:22.462207,0
10,40,Laptop,9,78,19,2024-03-19 17:51:22.503525,0
10,33,Laptop,7,78,19,2024-03-19 17:51:22.537145,0
10,32,Laptop,11,78,19,2024-03-19 17:51:22.569825,0
10,46,Laptop,16,78,19,2024-03-19 17:51:22.616642,0
10,35,Laptop,7,78,19,2024-03-19 17:51:22.652751,0
10,34,Laptop,10,78,19,2024-03-19 17:51:22.687926,0
10,41,Laptop,7,78,19,2024-03-19 17:51:22.729842,0
10,34,Laptop,5,78,19,2024-03-19 17:51:22.764336,0
10,31,Laptop,10,78,19,2024-03-19 17:51:22.796509,0
10,33,Laptop,9,78,19,2024-03-19 17:51:22.830498,0
10,33,Laptop,5,78,19,2024-03-19 17:51:22.864089,0
10,34,Laptop,7,78,19,2024-03-19 17:51:22.899165,0
10,32,Laptop,7,78,19,2024-03-19 17:51:22.932245,0
10,31,Laptop,11,78,19,2024-03-19 17:51:22.964439,0
10,39,Laptop,7,78,19,2024-03-19 17:51:23.004231,0
10,44,Laptop,10,78,19,2024-03-19 17:51:23.048954,0
10,33,Laptop,9,78,19,2024-03-19 17:51:23.083092,0
10,33,Laptop,5,78,19,2024-03-19 17:51:23.116795,0
10,31,Laptop,7,78,19,2024-03-19 17:51:23.149197,0
