delta,isentropic,data_size,fig_size,device_type,cpu,memory,consumption,timestamp,gpu
18,1,5,1,Laptop,7,31,19,2024-03-21 15:14:22.893856,0
14,1,5,1,Laptop,5,31,19,2024-03-21 15:14:23.043696,0
22,1,5,1,Laptop,8,31,19,2024-03-21 15:14:23.270338,0
14,1,5,1,Laptop,6,31,19,2024-03-21 15:14:23.419436,0
14,1,5,1,Laptop,6,31,19,2024-03-21 15:14:23.569691,0
15,1,5,1,Laptop,7,31,19,2024-03-21 15:14:23.720926,0
15,1,5,1,Laptop,7,31,19,2024-03-21 15:14:23.871975,0
15,1,5,1,Laptop,6,31,19,2024-03-21 15:14:24.022997,0
15,1,5,1,Laptop,9,31,19,2024-03-21 15:14:24.175391,0
15,1,5,1,Laptop,6,31,19,2024-03-21 15:14:24.327489,0
15,1,5,10,Laptop,6,31,19,2024-03-21 15:14:24.478980,0
15,1,5,10,Laptop,6,31,19,2024-03-21 15:14:24.631418,0
14,1,5,10,Laptop,6,31,19,2024-03-21 15:14:24.781533,0
15,1,5,10,Laptop,6,31,19,2024-03-21 15:14:24.933242,0
14,1,5,10,Laptop,8,31,19,2024-03-21 15:14:25.082036,0
15,1,5,10,Laptop,6,31,19,2024-03-21 15:14:25.237847,0
14,1,5,10,Laptop,6,31,19,2024-03-21 15:14:25.386018,0
14,1,5,10,Laptop,6,31,19,2024-03-21 15:14:25.534775,0
14,1,5,10,Laptop,7,31,19,2024-03-21 15:14:25.684824,0
15,1,5,10,Laptop,6,31,19,2024-03-21 15:14:25.836705,0
15,1,5,20,Laptop,7,31,19,2024-03-21 15:14:25.991009,0
15,1,5,20,Laptop,7,31,19,2024-03-21 15:14:26.145395,0
15,1,5,20,Laptop,11,31,19,2024-03-21 15:14:26.302258,0
15,1,5,20,Laptop,6,32,19,2024-03-21 15:14:26.453645,0
15,1,5,20,Laptop,7,32,19,2024-03-21 15:14:26.605432,0
15,1,5,20,Laptop,6,32,19,2024-03-21 15:14:26.758736,0
17,1,5,20,Laptop,6,32,19,2024-03-21 15:14:26.931291,0
18,1,5,20,Laptop,6,32,19,2024-03-21 15:14:27.117227,0
19,1,5,20,Laptop,6,32,19,2024-03-21 15:14:27.310342,0
20,1,5,20,Laptop,6,32,19,2024-03-21 15:14:27.511588,0
23,1,5,50,Laptop,6,32,19,2024-03-21 15:14:27.742153,0
24,1,5,50,Laptop,6,32,19,2024-03-21 15:14:27.983170,0
23,1,5,50,Laptop,6,32,19,2024-03-21 15:14:28.218001,0
24,1,5,50,Laptop,6,33,19,2024-03-21 15:14:28.459635,0
25,1,5,50,Laptop,7,33,19,2024-03-21 15:14:28.711695,0
24,1,5,50,Laptop,6,33,19,2024-03-21 15:14:28.954880,0
23,1,5,50,Laptop,6,33,19,2024-03-21 15:14:29.193337,0
24,1,5,50,Laptop,6,33,19,2024-03-21 15:14:29.437764,0
23,1,5,50,Laptop,6,34,19,2024-03-21 15:14:29.669893,0
23,1,5,50,Laptop,6,34,19,2024-03-21 15:14:29.907563,0
44,1,5,80,Laptop,8,33,19,2024-03-21 15:14:30.349670,0
29,1,5,80,Laptop,6,33,19,2024-03-21 15:14:30.644207,0
29,1,5,80,Laptop,6,34,19,2024-03-21 15:14:30.938126,0
30,1,5,80,Laptop,6,34,19,2024-03-21 15:14:31.241800,0
29,1,5,80,Laptop,6,34,19,2024-03-21 15:14:31.538654,0
28,1,5,80,Laptop,6,35,19,2024-03-21 15:14:31.820730,0
29,1,5,80,Laptop,7,35,19,2024-03-21 15:14:32.121195,0
29,1,5,80,Laptop,6,35,19,2024-03-21 15:14:32.416222,0
28,1,5,80,Laptop,6,36,19,2024-03-21 15:14:32.698604,0
30,1,5,80,Laptop,6,36,19,2024-03-21 15:14:32.999526,0
23,1,10,1,Laptop,6,35,19,2024-03-21 15:14:33.230717,0
21,1,10,1,Laptop,7,35,19,2024-03-21 15:14:33.446989,0
22,1,10,1,Laptop,6,35,19,2024-03-21 15:14:33.669453,0
22,1,10,1,Laptop,7,35,19,2024-03-21 15:14:33.893756,0
22,1,10,1,Laptop,6,35,19,2024-03-21 15:14:34.114942,0
21,1,10,1,Laptop,6,35,19,2024-03-21 15:14:34.334341,0
