service,variable,states,hl,root
Analysis,cumm_net_delay,"['38', '39', '40']",True,False
Analysis,delta,"['28', '29', '30']",False,False
Analysis,gpu,['30'],False,False
Analysis,fps,['15'],False,True
Analysis,pixel,['480'],False,True
Weather,cumm_net_delay,"['22', '23', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40']",True,False
Weather,delta,"['14', '15', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",False,False
Weather,data_size,['10'],False,True
Weather,fig_size,['10'],False,True
Weather,isentropic,['1'],False,True
Anomaly,cumm_net_delay,"['38', '39', '40']",True,False
Anomaly,delta,"['30', '31', '32']",False,False
Anomaly,batch_size,['10'],False,True
CloudDB,cumm_net_delay,"['30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40']",True,False
CloudDB,delta,"['19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29']",False,False
CloudDB,batch_size,['50'],False,True
CloudDB,cached,['True'],False,True
CloudDB,limit,['500'],False,True
CloudDB,threads,['5'],False,True
