service,variable,states,hl,root
Weather,cumm_net_delay,"['22', '23', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '76', '77', '79', '80', '82', '83', '84', '89', '92', '95', '96', '97', '98', '99', '100', '101', '102', '103', '104', '105', '109', '110']",True,False
Weather,delta,"['14', '15', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '68', '69', '71', '72', '74', '75', '76', '81', '84', '87', '88', '89', '90', '91', '92', '93', '94', '95', '96', '97', '101', '102']",False,False
Weather,data_size,"['5', '10', '20', '30']",False,True
Weather,isentropic,"['1', '10', '50', '100', '200']",False,True
Weather,viewer_satisfaction,['80'],True,False
Privacy,cumm_net_delay,"['76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '92', '93', '94', '95', '96', '97', '98', '99', '100', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110']",True,False
Privacy,delta,"['28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46']",False,False
Privacy,gpu,"['30', '40', '65', '75', '80']",False,False
Privacy,delta_privacy,"['28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '47']",False,False
Privacy,viewer_satisfaction,['14'],True,False
CloudDB,cumm_net_delay,"['30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '92', '93', '94', '95', '96', '97', '98', '99', '100', '101', '102', '103', '105', '106', '107', '108', '109', '110']",True,False
CloudDB,delta,"['19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '92', '94', '95', '96', '97', '98', '99']",False,False
CloudDB,batch_size,"['500', '1000', '10000']",False,True
CloudDB,cached,['True'],False,True
CloudDB,limit,"['100', '500', '1000']",False,True
CloudDB,threads,"['1', '5', '10', '20']",False,True
Weather,fig_size,['80'],False,True
Privacy,fps,['35'],False,True
Privacy,pixel,['1080'],False,True
