delta,fps,pixel,device_type,cpu,memory,consumption,gpu,in_time,cumm_net_delay,viewer_satisfaction,energy,consumption_all,delta_privacy
33,35,720,Orin,27,72,6,80,False,90,11,26,26,37
45,30,1080,Orin,21,72,6,75,False,110,13,26,26,45
34,25,720,Orin,26,72,6,65,True,90,9,22,22,36
41,35,1080,Orin,20,72,6,80,False,106,14,26,26,45
34,35,480,Orin,33,72,6,80,False,89,10,26,26,35
44,30,1080,Orin,26,72,6,75,False,107,13,26,26,43
32,30,720,Orin,25,72,6,75,True,89,10,26,26,37
34,20,720,Orin,25,72,6,40,True,91,8,14,14,37
38,35,720,Orin,26,72,6,80,False,94,11,26,26,36
41,25,1080,Orin,21,72,6,65,False,106,12,22,22,45
47,30,1080,Orin,22,72,6,75,False,110,13,26,26,43
46,35,1080,Orin,25,72,6,80,False,108,14,26,26,42
45,25,1080,Orin,24,72,6,65,False,109,12,22,22,44
33,15,720,Orin,18,72,6,30,True,86,7,14,14,33
45,20,1080,Orin,18,72,6,40,True,108,11,14,14,43
34,15,720,Orin,19,72,6,30,True,89,7,14,14,35
36,25,720,Orin,28,72,6,65,True,92,9,22,22,36
30,25,480,Orin,34,72,6,65,True,83,8,22,22,33
46,30,1080,Orin,22,72,6,75,False,109,13,26,26,43
48,20,1080,Orin,21,72,6,40,True,112,11,14,14,44
33,20,720,Orin,25,72,6,40,True,90,8,14,14,37
45,35,1080,Orin,18,72,6,80,False,108,14,26,26,43
33,30,720,Orin,28,72,6,75,True,89,10,26,26,36
44,35,1080,Orin,24,72,6,80,False,108,14,26,26,44
44,35,1080,Orin,27,72,6,80,False,107,14,26,26,43
33,30,720,Orin,48,72,7,75,True,89,10,27,27,36
33,25,720,Orin,27,72,6,65,True,90,9,22,22,37
40,30,720,Orin,32,72,6,75,False,96,10,26,26,36
33,20,720,Orin,27,72,6,40,True,89,8,14,14,36
38,35,480,Orin,26,72,6,80,False,94,10,26,26,36
40,30,720,Orin,28,72,6,75,False,96,10,26,26,36
41,35,720,Orin,24,72,6,80,False,96,11,26,26,35
32,30,720,Orin,29,72,6,75,True,88,10,26,26,36
34,35,720,Orin,30,72,6,80,False,90,11,26,26,36
34,20,720,Orin,25,72,6,40,True,91,8,14,14,37
30,15,480,Orin,20,72,6,30,True,84,6,14,14,34
39,25,1080,Orin,25,72,6,65,True,104,12,22,22,45
34,30,720,Orin,34,72,6,75,False,90,10,26,26,36
44,35,1080,Orin,29,72,6,80,False,108,14,26,26,44
29,30,480,Orin,28,72,6,75,True,85,9,26,26,36
36,15,720,Orin,21,72,6,30,True,89,7,14,14,33
48,30,1080,Orin,27,72,6,75,False,111,13,26,26,43
35,15,720,Orin,18,72,6,30,True,89,7,14,14,34
39,30,1080,Orin,23,72,6,75,False,102,13,26,26,43
46,20,1080,Orin,23,72,6,40,True,111,11,14,14,45
33,35,720,Orin,29,72,6,80,False,89,11,26,26,36
38,35,720,Orin,31,72,6,80,False,96,11,26,26,38
47,20,1080,Orin,23,72,6,40,True,111,11,14,14,44
41,15,1080,Orin,20,71,6,30,True,106,10,14,14,45
28,15,480,Orin,20,72,6,30,True,78,6,14,14,30
35,15,720,Orin,19,72,6,30,True,86,7,14,14,31
32,30,720,Orin,28,72,6,75,True,88,10,26,26,36
47,30,1080,Orin,22,72,6,75,False,110,13,26,26,43
40,35,720,Orin,29,72,6,80,False,96,11,26,26,36
33,25,720,Orin,31,72,6,65,True,90,9,22,22,37
46,25,1080,Orin,25,72,6,65,False,109,12,22,22,43
30,20,480,Orin,20,72,6,40,True,82,7,14,14,32
32,25,720,Orin,36,72,6,65,True,88,9,22,22,36
35,20,720,Orin,25,72,6,40,True,91,8,14,14,36
30,25,480,Orin,22,72,6,65,True,79,8,22,22,29
45,35,1080,Orin,23,72,6,80,False,108,14,26,26,43
30,35,480,Orin,30,72,6,80,False,81,10,26,26,31
43,20,1080,Orin,20,72,6,40,True,107,11,14,14,44
36,15,720,Orin,19,72,6,30,True,90,7,14,14,34
44,15,1080,Orin,18,71,6,30,True,107,10,14,14,43
33,30,480,Orin,27,72,6,75,True,82,9,26,26,29
39,30,720,Orin,32,72,6,75,False,96,10,26,26,37
30,15,480,Orin,19,72,6,30,True,80,6,14,14,30
30,20,480,Orin,25,72,6,40,True,81,7,14,14,31
39,15,1080,Orin,20,71,6,30,True,102,10,14,14,43
36,20,720,Orin,25,72,6,40,True,91,8,14,14,35
36,15,720,Orin,22,72,6,30,True,89,7,14,14,33
47,20,1080,Orin,31,72,6,40,True,112,11,14,14,45
28,30,480,Orin,26,72,6,75,True,79,9,26,26,31
31,20,480,Orin,20,72,6,40,True,83,7,14,14,32
30,35,480,Orin,29,72,6,80,False,81,10,26,26,31
30,20,480,Orin,25,72,6,40,True,80,7,14,14,30
36,15,720,Orin,23,72,6,30,True,88,7,14,14,32
35,30,480,Orin,27,72,6,75,False,86,9,26,26,31
33,30,720,Orin,31,72,6,75,True,89,10,26,26,36
36,35,720,Orin,25,72,6,80,False,93,11,26,26,37
29,20,480,Orin,21,72,6,40,True,79,7,14,14,30
30,20,480,Orin,25,72,6,40,True,82,7,14,14,32
33,20,720,Orin,27,72,6,40,True,89,8,14,14,36
45,20,1080,Orin,22,72,6,40,True,109,11,14,14,44
33,20,720,Orin,25,72,6,40,True,89,8,14,14,36
40,35,1080,Orin,31,72,6,80,False,104,14,26,26,44
39,25,1080,Orin,25,72,6,65,True,102,12,22,22,43
32,15,720,Orin,21,72,6,30,True,87,7,14,14,35
40,25,1080,Orin,30,72,6,65,True,105,12,22,22,45
45,35,1080,Orin,32,72,6,80,False,110,14,26,26,45
45,20,1080,Orin,22,72,6,40,True,109,11,14,14,44
47,30,1080,Orin,25,72,6,75,False,111,13,26,26,44
42,15,1080,Orin,20,71,6,30,True,107,10,14,14,45
46,25,1080,Orin,23,72,6,65,False,111,12,22,22,45
30,35,480,Orin,29,72,6,80,False,86,10,26,26,36
