delta,fps,pixel,device_type,cpu,memory,consumption,gpu,in_time,cumm_net_delay,viewer_satisfaction,energy,consumption_gpu,delta_privacy
30,15,480,Orin,18,72,6,30,True,80,480,8,8,30
38,30,720,Orin,23,72,6,75,False,94,720,11,11,36
47,30,1080,Orin,21,72,6,75,False,112,1080,11,11,45
36,25,720,Orin,27,72,6,65,True,93,720,10,10,37
42,15,1080,Orin,15,71,6,30,True,106,1080,8,8,44
33,30,480,Orin,27,72,6,75,True,84,480,11,11,31
30,20,480,Orin,27,72,6,40,True,81,480,8,8,31
44,30,1080,Orin,25,72,6,75,False,109,1080,11,11,45
33,25,720,Orin,24,72,6,65,True,89,720,10,10,36
42,15,1080,Orin,17,71,6,30,True,104,1080,8,8,42
39,30,720,Orin,34,72,6,75,False,96,720,11,11,37
37,20,720,Orin,26,72,6,40,True,94,720,8,8,37
33,25,480,Orin,35,72,6,65,True,85,480,10,10,32
33,25,720,Orin,31,72,6,65,True,88,720,10,10,35
44,20,1080,Orin,26,72,6,40,True,107,1080,8,8,43
47,35,1080,Orin,28,72,6,80,False,112,1080,11,11,45
29,15,480,Orin,16,72,6,30,True,79,480,8,8,30
29,35,480,Orin,35,72,6,80,False,80,480,11,11,31
47,30,1080,Orin,30,72,6,75,False,110,1080,11,11,43
34,35,480,Orin,29,72,6,80,False,86,480,11,11,32
30,20,480,Orin,21,72,6,40,True,82,480,8,8,32
42,15,1080,Orin,24,71,6,30,True,107,1080,8,8,45
39,25,720,Orin,32,72,6,65,True,95,720,10,10,36
30,25,480,Orin,33,72,6,65,True,84,480,10,10,34
41,15,1080,Orin,23,71,6,30,True,105,1080,8,8,44
41,15,1080,Orin,20,71,6,30,True,105,1080,8,8,44
30,15,480,Orin,16,72,6,30,True,80,480,8,8,30
31,20,480,Orin,28,72,6,40,True,82,480,8,8,31
38,30,720,Orin,28,72,6,75,False,95,720,11,11,37
40,15,1080,Orin,20,71,6,30,True,105,1080,8,8,45
30,25,480,Orin,23,72,6,65,True,83,480,10,10,33
29,25,480,Orin,29,72,6,65,True,82,480,10,10,33
45,20,1080,Orin,25,72,6,40,True,109,1080,8,8,44
39,35,720,Orin,33,72,6,80,False,95,720,11,11,36
29,35,480,Orin,26,72,6,80,False,85,480,11,11,36
31,30,480,Orin,32,72,6,75,True,86,480,11,11,35
32,15,720,Orin,21,72,6,30,True,86,720,8,8,34
33,25,480,Orin,31,72,6,65,True,83,480,10,10,30
33,20,720,Orin,25,72,6,40,True,90,720,8,8,37
41,15,1080,Orin,17,71,6,30,True,105,1080,8,8,44
37,30,720,Orin,30,72,6,75,False,94,720,11,11,37
33,25,480,Orin,30,72,6,65,True,83,480,10,10,30
34,30,480,Orin,31,72,6,75,False,85,480,11,11,31
35,20,720,Orin,22,72,6,40,True,92,720,8,8,37
33,30,480,Orin,26,72,6,75,True,87,480,11,11,34
34,25,480,Orin,23,72,6,65,True,86,480,10,10,32
33,15,720,Orin,18,72,6,30,True,92,720,8,8,39
30,25,480,Orin,30,72,6,65,True,81,480,10,10,31
31,25,480,Orin,28,72,6,65,True,86,480,10,10,35
45,15,1080,Orin,18,71,6,30,True,109,1080,8,8,44
43,30,1080,Orin,27,72,6,75,False,107,1080,11,11,44
46,25,1080,Orin,23,72,6,65,False,110,1080,10,10,44
30,20,480,Orin,18,72,6,40,True,80,480,8,8,30
45,25,1080,Orin,23,72,6,65,False,109,1080,10,10,44
40,15,1080,Orin,19,71,6,30,True,104,1080,8,8,44
39,15,1080,Orin,15,71,6,30,True,103,1080,8,8,44
31,20,480,Orin,25,72,6,40,True,82,480,8,8,31
31,25,720,Orin,26,72,6,65,True,87,720,10,10,36
36,15,720,Orin,18,72,6,30,True,89,720,8,8,33
47,35,1080,Orin,25,72,6,80,False,111,1080,11,11,44
29,15,480,Orin,18,72,6,30,True,83,480,8,8,34
34,15,720,Orin,25,72,6,30,True,86,720,8,8,32
38,35,720,Orin,28,72,6,80,False,94,720,11,11,36
35,35,480,Orin,34,72,6,80,False,86,480,11,11,31
29,25,480,Orin,24,72,6,65,True,77,480,10,10,28
47,30,1080,Orin,27,72,6,75,False,114,1080,11,11,47
44,25,1080,Orin,15,72,6,65,False,108,1080,10,10,44
36,15,720,Orin,18,72,6,30,True,93,720,8,8,37
34,20,720,Orin,26,72,6,40,True,90,720,8,8,36
37,20,720,Orin,21,72,6,40,True,92,720,8,8,35
33,15,720,Orin,22,72,6,30,True,87,720,8,8,34
29,15,480,Orin,16,72,6,30,True,78,480,8,8,29
33,20,720,Orin,26,72,6,40,True,89,720,8,8,36
33,15,480,Orin,17,72,6,30,True,83,480,8,8,30
46,25,1080,Orin,27,72,6,65,False,111,1080,10,10,45
28,35,480,Orin,35,72,6,80,True,78,480,11,11,30
42,15,1080,Orin,19,71,6,30,True,106,1080,8,8,44
45,20,1080,Orin,21,72,6,40,True,108,1080,8,8,43
41,15,1080,Orin,19,71,6,30,True,105,1080,8,8,44
30,20,480,Orin,23,72,6,40,True,83,480,8,8,33
32,35,720,Orin,34,72,6,80,False,89,720,11,11,37
39,35,720,Orin,27,72,6,80,False,94,720,11,11,35
40,15,1080,Orin,17,71,6,30,True,104,1080,8,8,44
34,30,720,Orin,32,72,6,75,False,91,720,11,11,37
39,35,1080,Orin,25,72,6,80,False,103,1080,11,11,44
36,15,720,Orin,18,72,6,30,True,90,720,8,8,34
29,25,480,Orin,25,72,6,65,True,79,480,10,10,30
37,35,480,Orin,25,72,6,80,False,91,480,11,11,34
47,30,1080,Orin,30,72,6,75,False,110,1080,11,11,43
34,15,720,Orin,23,72,6,30,True,87,720,8,8,33
30,15,480,Orin,20,72,6,30,True,83,480,8,8,33
39,25,1080,Orin,20,72,6,65,True,102,1080,10,10,43
28,15,480,Orin,15,72,6,30,True,77,480,8,8,29
33,25,480,Orin,22,72,6,65,True,87,480,10,10,34
38,25,1080,Orin,24,72,6,65,True,101,1080,10,10,43
40,25,1080,Orin,33,72,6,65,True,105,1080,10,10,45
46,20,1080,Orin,21,72,6,40,True,111,1080,8,8,45
34,25,720,Orin,34,72,6,65,True,90,720,10,10,36
35,20,720,Orin,22,72,6,40,True,91,720,8,8,36
37,20,720,Orin,30,72,6,40,True,93,720,8,8,36
29,15,480,Orin,20,72,6,30,True,80,480,8,8,31
45,25,1080,Orin,24,72,6,65,False,109,1080,10,10,44
35,25,720,Orin,26,72,6,65,True,91,720,10,10,36
46,30,1080,Orin,23,72,6,75,False,109,1080,11,11,43
46,35,1080,Orin,29,72,6,80,False,110,1080,11,11,44
31,25,480,Orin,28,72,6,65,True,80,480,10,10,29
42,30,1080,Orin,25,72,6,75,False,105,1080,11,11,43
33,15,480,Orin,18,72,6,30,True,82,480,8,8,29
43,15,1080,Orin,21,71,6,30,True,107,1080,8,8,44
49,35,1080,Orin,27,72,6,80,False,114,1080,11,11,45
38,35,720,Orin,38,72,6,80,False,93,720,11,11,35
30,20,480,Orin,23,72,6,40,True,81,480,8,8,31
43,25,1080,Orin,27,72,6,65,False,106,1080,10,10,43
