delta_privacy,fps,pixel,timestamp,device_type,cpu,memory,consumption,gpu
35,15,480,2024-03-26 09:58:15.592124,Orin,45,74,7,35
30,15,480,2024-03-26 09:58:15.667129,Orin,28,74,6,35
30,15,480,2024-03-26 09:58:15.744910,Orin,20,74,6,35
29,15,480,2024-03-26 09:58:15.823909,Orin,17,74,6,35
28,15,480,2024-03-26 09:58:15.903248,Orin,15,74,6,35
28,15,480,2024-03-26 09:58:15.983152,Orin,17,74,6,35
31,15,480,2024-03-26 09:58:16.064204,Orin,20,74,6,35
28,15,480,2024-03-26 09:58:16.140738,Orin,19,74,6,35
30,15,480,2024-03-26 09:58:16.221984,Orin,30,74,6,35
30,15,480,2024-03-26 09:58:16.301751,Orin,33,74,6,35
28,15,480,2024-03-26 09:58:16.377570,Orin,15,74,6,35
28,15,480,2024-03-26 09:58:16.458977,Orin,17,74,6,35
31,15,480,2024-03-26 09:58:16.540854,Orin,18,74,6,35
28,15,480,2024-03-26 09:58:16.617164,Orin,19,74,6,35
28,15,480,2024-03-26 09:58:16.695902,Orin,15,74,6,35
30,15,480,2024-03-26 09:58:16.778007,Orin,18,74,6,35
31,15,480,2024-03-26 09:58:16.859043,Orin,18,74,6,35
29,15,480,2024-03-26 09:58:16.936481,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:17.016726,Orin,17,74,6,35
28,15,480,2024-03-26 09:58:17.095087,Orin,19,74,6,35
28,15,480,2024-03-26 09:58:17.173929,Orin,13,74,6,35
34,15,480,2024-03-26 09:58:17.258579,Orin,26,74,6,35
28,15,480,2024-03-26 09:58:17.333895,Orin,16,74,6,35
29,15,480,2024-03-26 09:58:17.415529,Orin,20,74,6,35
30,15,480,2024-03-26 09:58:17.496324,Orin,22,74,6,35
29,15,480,2024-03-26 09:58:17.575834,Orin,18,74,6,35
32,15,480,2024-03-26 09:58:17.659025,Orin,23,74,6,35
35,15,480,2024-03-26 09:58:17.741194,Orin,20,74,6,35
28,15,480,2024-03-26 09:58:17.813678,Orin,10,74,6,35
29,15,480,2024-03-26 09:58:17.893838,Orin,31,74,6,35
30,15,480,2024-03-26 09:58:17.974808,Orin,34,74,6,35
28,15,480,2024-03-26 09:58:18.051846,Orin,25,74,6,35
29,15,480,2024-03-26 09:58:18.130982,Orin,17,74,6,35
29,15,480,2024-03-26 09:58:18.210564,Orin,18,74,6,35
28,15,480,2024-03-26 09:58:18.290732,Orin,20,74,6,35
28,15,480,2024-03-26 09:58:18.370339,Orin,20,74,6,35
29,15,480,2024-03-26 09:58:18.451385,Orin,16,74,6,35
28,15,480,2024-03-26 09:58:18.530300,Orin,17,74,6,35
29,15,480,2024-03-26 09:58:18.610359,Orin,22,74,6,35
29,15,480,2024-03-26 09:58:18.690548,Orin,21,74,6,35
29,15,480,2024-03-26 09:58:18.770049,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:18.851273,Orin,22,74,6,35
29,15,480,2024-03-26 09:58:18.932022,Orin,19,74,6,35
30,15,480,2024-03-26 09:58:19.012442,Orin,20,74,6,35
29,15,480,2024-03-26 09:58:19.091236,Orin,15,74,6,35
29,15,480,2024-03-26 09:58:19.171795,Orin,17,74,6,35
29,15,480,2024-03-26 09:58:19.252534,Orin,14,74,6,35
29,15,480,2024-03-26 09:58:19.332015,Orin,19,74,6,35
29,15,480,2024-03-26 09:58:19.411716,Orin,20,74,6,35
29,15,480,2024-03-26 09:58:19.491143,Orin,20,74,6,35
29,15,480,2024-03-26 09:58:19.570882,Orin,19,74,6,35
29,15,480,2024-03-26 09:58:19.652022,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:19.732545,Orin,18,74,6,35
29,15,480,2024-03-26 09:58:19.812242,Orin,17,74,6,35
29,15,480,2024-03-26 09:58:19.893344,Orin,14,74,6,35
30,15,480,2024-03-26 09:58:19.973415,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:20.052610,Orin,14,74,6,35
30,15,480,2024-03-26 09:58:20.131889,Orin,17,74,6,35
29,15,480,2024-03-26 09:58:20.211158,Orin,18,74,6,35
29,15,480,2024-03-26 09:58:20.290515,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:20.372406,Orin,15,74,6,35
31,15,480,2024-03-26 09:58:20.453014,Orin,21,74,6,35
35,15,480,2024-03-26 09:58:20.537531,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:20.612665,Orin,19,74,6,35
29,15,480,2024-03-26 09:58:20.691948,Orin,15,74,6,35
29,15,480,2024-03-26 09:58:20.771837,Orin,14,74,6,35
29,15,480,2024-03-26 09:58:20.850671,Orin,18,74,6,35
29,15,480,2024-03-26 09:58:20.932334,Orin,18,74,6,35
34,15,480,2024-03-26 09:58:21.018097,Orin,20,74,6,35
32,15,480,2024-03-26 09:58:21.095344,Orin,20,74,6,35
29,15,480,2024-03-26 09:58:21.171914,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:21.251524,Orin,21,74,6,35
28,15,480,2024-03-26 09:58:21.330567,Orin,32,74,6,35
29,15,480,2024-03-26 09:58:21.411143,Orin,35,74,6,35
29,15,480,2024-03-26 09:58:21.489913,Orin,36,74,6,35
34,15,480,2024-03-26 09:58:21.574918,Orin,34,74,6,35
29,15,480,2024-03-26 09:58:21.649263,Orin,33,74,6,35
29,15,480,2024-03-26 09:58:21.729109,Orin,33,74,6,35
28,15,480,2024-03-26 09:58:21.807373,Orin,33,74,6,35
29,15,480,2024-03-26 09:58:21.888384,Orin,33,74,6,35
31,15,480,2024-03-26 09:58:21.970464,Orin,15,74,6,35
29,15,480,2024-03-26 09:58:22.048559,Orin,15,74,6,35
29,15,480,2024-03-26 09:58:22.128191,Orin,20,74,6,35
29,15,480,2024-03-26 09:58:22.208272,Orin,18,74,6,35
29,15,480,2024-03-26 09:58:22.288594,Orin,17,74,6,35
29,15,480,2024-03-26 09:58:22.367643,Orin,13,74,6,35
29,15,480,2024-03-26 09:58:22.446621,Orin,21,74,6,35
31,15,480,2024-03-26 09:58:22.528345,Orin,19,74,6,35
29,15,480,2024-03-26 09:58:22.608452,Orin,18,74,6,35
29,15,480,2024-03-26 09:58:22.688252,Orin,20,74,6,35
29,15,480,2024-03-26 09:58:22.768810,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:22.849216,Orin,15,74,6,35
29,15,480,2024-03-26 09:58:22.928126,Orin,18,74,6,35
29,15,480,2024-03-26 09:58:23.007846,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:23.089012,Orin,25,74,6,35
29,15,480,2024-03-26 09:58:23.166578,Orin,33,74,6,35
29,15,480,2024-03-26 09:58:23.245643,Orin,19,74,6,35
29,15,480,2024-03-26 09:58:23.325243,Orin,17,74,6,35
31,15,480,2024-03-26 09:58:23.406209,Orin,33,74,6,35
31,15,480,2024-03-26 09:58:23.485101,Orin,28,74,6,35
31,15,480,2024-03-26 09:58:23.564427,Orin,19,74,6,35
30,15,480,2024-03-26 09:58:23.644856,Orin,19,74,6,35
31,15,480,2024-03-26 09:58:23.724815,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:23.803776,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:23.884343,Orin,20,74,6,35
30,15,480,2024-03-26 09:58:23.965084,Orin,17,74,6,35
29,15,480,2024-03-26 09:58:24.042377,Orin,21,74,6,35
29,15,480,2024-03-26 09:58:24.123094,Orin,33,74,6,35
29,15,480,2024-03-26 09:58:24.202919,Orin,27,74,6,35
30,15,480,2024-03-26 09:58:24.284252,Orin,15,74,6,35
32,15,480,2024-03-26 09:58:24.367187,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:24.443918,Orin,13,74,6,35
29,15,480,2024-03-26 09:58:24.523366,Orin,19,74,6,35
30,15,480,2024-03-26 09:58:24.603156,Orin,20,74,6,35
30,15,480,2024-03-26 09:58:24.682409,Orin,20,74,6,35
29,15,480,2024-03-26 09:58:24.760980,Orin,14,74,6,35
31,15,480,2024-03-26 09:58:24.843612,Orin,20,74,6,35
29,15,480,2024-03-26 09:58:24.920646,Orin,17,74,6,35
31,15,480,2024-03-26 09:58:25.002507,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:25.083210,Orin,18,74,6,35
29,15,480,2024-03-26 09:58:25.162023,Orin,19,74,6,35
29,15,480,2024-03-26 09:58:25.241486,Orin,18,74,6,35
29,15,480,2024-03-26 09:58:25.320988,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:25.402347,Orin,16,74,6,35
30,15,480,2024-03-26 09:58:25.481879,Orin,13,74,6,35
33,15,480,2024-03-26 09:58:25.563685,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:25.641135,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:25.720357,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:25.801735,Orin,15,74,6,35
30,15,480,2024-03-26 09:58:25.882229,Orin,13,74,6,35
29,15,480,2024-03-26 09:58:25.961387,Orin,24,74,6,35
30,15,480,2024-03-26 09:58:26.041483,Orin,14,74,6,35
30,15,480,2024-03-26 09:58:26.120650,Orin,19,74,6,35
32,15,480,2024-03-26 09:58:26.202328,Orin,16,74,6,35
30,15,480,2024-03-26 09:58:26.279086,Orin,25,74,6,35
30,15,480,2024-03-26 09:58:26.358689,Orin,19,74,6,35
