service_name,host,pixel,fps,min_latency,slo_fulfillment,cpu,memory,consumption,gpu,t
Processor,PC,720,15,1000,1.0,4,12,86,21,0
Processor,Laptop,720,15,1000,1.0,54,27,23,0,0
Processor,Orin,720,15,1000,1.0,24,73,7,30,0
Processor,Xavier,720,15,1000,1.0,51,62,8,35,0
Processor,"('Nano', 'Xavier')",720,15,1000,1.0,101,62,8,35,0
Consumer_A,PC,720,15,1000,1.0,16,21,89,0,0
Consumer_A,Laptop,720,15,1000,1.0,21,31,23,0,0
Consumer_A,Orin,720,15,1000,1.0,26,46,8,0,0
Consumer_A,Xavier,720,15,1000,1.0,36,46,8,0,0
Consumer_A,"('Nano', 'Xavier')",720,15,1000,1.0,71,91,8,0,0
Processor,PC,480,25,70,1.0,4,11,86,24,1
Processor,Laptop,480,25,70,0.6563028041057659,55,27,23,0,1
Processor,Orin,480,25,70,0.9999809838943272,35,73,7,65,1
Processor,Xavier,480,25,70,0.6047653001309069,61,62,8,70,1
Processor,"('Nano', 'Xavier')",480,25,70,0.6047653001309069,121,123,8,70,1
Consumer_B,PC,480,25,70,0.9115008028186393,16,21,89,0,1
Consumer_B,Laptop,480,25,70,0.909848325919054,21,31,23,0,1
Consumer_B,Orin,480,25,70,0.9353955860576066,26,46,8,0,1
Consumer_B,Xavier,480,25,70,0.9964600321127456,36,46,8,0,1
Consumer_B,"('Nano', 'Xavier')",480,25,70,0.9964600321127456,71,91,8,0,1
Processor,PC,480,15,40,0.22852233676975944,4,11,86,22,2
Processor,Laptop,480,15,40,0.0,54,27,23,0,2
Processor,Orin,480,15,40,0.6941580756013744,24,73,7,30,2
Processor,Xavier,480,15,40,0.04295532646048108,51,62,8,35,2
Processor,"('Nano', 'Xavier')",480,15,40,0.04295532646048108,101,62,8,35,2
Consumer_C,PC,480,15,40,0.25010427996882834,16,21,89,0,2
Consumer_C,Laptop,480,15,40,0.2283806958501564,21,31,23,0,2
Consumer_C,Orin,480,15,40,0.24156184339542838,26,46,8,0,2
Consumer_C,Xavier,480,15,40,0.19208365773971772,36,46,8,0,2
Consumer_C,"('Nano', 'Xavier')",480,15,40,0.19208365773971772,71,91,8,0,2
Processor,PC,720,25,40,0.21810591278172864,4,12,86,31,3
Processor,Laptop,720,25,40,0.005874328250544109,55,27,23,0,3
Processor,Orin,720,25,40,0.16042182551136666,35,73,7,65,3
