service_name,host,pixel,fps,min_latency,slo_fulfillment,cpu,memory,consumption,gpu,fixed_location,t,select
Processor,PC,720,15,1000,0.9997767583689872,3,12,85,21,PC,0,
Processor,Laptop,720,15,1000,0.8487599630027912,52,27,23,0,PC,0,
Processor,Orin,720,15,1000,0.9997887766846684,25,73,7,30,PC,0,
Processor,Xavier,720,15,1000,0.9999304910753518,51,62,8,35,PC,0,
Processor,"('Nano', 'Xavier')",720,15,1000,0.9999304910753518,51,62,8,35,PC,0,
Processor,PC,720,15,1000,0.9997767583689872,3,12,85,21,Laptop,0,
Processor,Laptop,720,15,1000,0.8487599630027912,52,27,23,0,Laptop,0,
Processor,Orin,720,15,1000,0.9997887766846684,25,73,7,30,Laptop,0,
Processor,Xavier,720,15,1000,0.9999304910753518,51,62,8,35,Laptop,0,
Processor,"('Nano', 'Xavier')",720,15,1000,0.9999304910753518,51,62,8,35,Laptop,0,
Processor,PC,720,15,1000,0.9997767583689872,3,12,85,21,Orin,0,
Processor,Laptop,720,15,1000,0.8487599630027912,52,27,23,0,Orin,0,
Processor,Orin,720,15,1000,0.9997887766846684,25,73,7,30,Orin,0,
Processor,Xavier,720,15,1000,0.9999304910753518,51,62,8,35,Orin,0,True
Processor,"('Nano', 'Xavier')",720,15,1000,0.9999304910753518,51,62,8,35,Orin,0,
Processor,PC,720,15,1000,0.9997767583689872,3,12,85,21,Xavier,0,
Processor,Laptop,720,15,1000,0.8487599630027912,52,27,23,0,Xavier,0,
Processor,Orin,720,15,1000,0.9997887766846684,25,73,7,30,Xavier,0,
Processor,Xavier,720,15,1000,0.9999304910753518,51,62,8,35,Xavier,0,
Processor,"('Nano', 'Xavier')",720,15,1000,0.9999304910753518,51,62,8,35,Xavier,0,
Processor,PC,720,15,1000,0.9997767583689872,3,12,85,21,"('Nano', 'Xavier')",0,
Processor,Laptop,720,15,1000,0.8487599630027912,52,27,23,0,"('Nano', 'Xavier')",0,
Processor,Orin,720,15,1000,0.9997887766846684,25,73,7,30,"('Nano', 'Xavier')",0,
Processor,Xavier,720,15,1000,0.9999304910753518,51,62,8,35,"('Nano', 'Xavier')",0,
Processor,"('Nano', 'Xavier')",720,15,1000,0.9999304910753518,51,62,8,35,"('Nano', 'Xavier')",0,
Consumer_A,PC,720,15,1000,1.0,16,21,89,0,PC,0,
Consumer_A,Laptop,720,15,1000,1.0,21,31,23,0,PC,0,
Consumer_A,Orin,720,15,1000,1.0,26,46,8,0,PC,0,
Consumer_A,Xavier,720,15,1000,1.0,36,46,8,0,PC,0,
Consumer_A,"('Nano', 'Xavier')",720,15,1000,1.0,71,91,8,0,PC,0,
Consumer_A,PC,720,15,1000,1.0,16,21,89,0,Laptop,0,
Consumer_A,Laptop,720,15,1000,1.0,21,31,23,0,Laptop,0,
Consumer_A,Orin,720,15,1000,1.0,26,46,8,0,Laptop,0,
Consumer_A,Xavier,720,15,1000,1.0,36,46,8,0,Laptop,0,
Consumer_A,"('Nano', 'Xavier')",720,15,1000,1.0,71,91,8,0,Laptop,0,
Consumer_A,PC,720,15,1000,1.0,16,21,89,0,Orin,0,
Consumer_A,Laptop,720,15,1000,1.0,21,31,23,0,Orin,0,
Consumer_A,Orin,720,15,1000,1.0,26,46,8,0,Orin,0,
Consumer_A,Xavier,720,15,1000,1.0,36,46,8,0,Orin,0,
Consumer_A,"('Nano', 'Xavier')",720,15,1000,1.0,71,91,8,0,Orin,0,
Consumer_A,PC,720,15,1000,1.0,16,21,89,0,Xavier,0,
Consumer_A,Laptop,720,15,1000,1.0,21,31,23,0,Xavier,0,
Consumer_A,Orin,720,15,1000,1.0,26,46,8,0,Xavier,0,True
Consumer_A,Xavier,720,15,1000,1.0,36,46,8,0,Xavier,0,
Consumer_A,"('Nano', 'Xavier')",720,15,1000,1.0,71,91,8,0,Xavier,0,
Consumer_A,PC,720,15,1000,1.0,16,21,89,0,"('Nano', 'Xavier')",0,
Consumer_A,Laptop,720,15,1000,1.0,21,31,23,0,"('Nano', 'Xavier')",0,
Consumer_A,Orin,720,15,1000,1.0,26,46,8,0,"('Nano', 'Xavier')",0,
Consumer_A,Xavier,720,15,1000,1.0,36,46,8,0,"('Nano', 'Xavier')",0,
Consumer_A,"('Nano', 'Xavier')",720,15,1000,1.0,71,91,8,0,"('Nano', 'Xavier')",0,
Processor,PC,480,25,70,1.0,4,11,86,24,PC,1,True
Processor,Laptop,480,25,70,0.6563573883161512,55,27,23,0,PC,1,
Processor,Orin,480,25,70,1.0,35,73,7,65,PC,1,
Processor,Xavier,480,25,70,0.604810996563574,61,62,8,70,PC,1,
Processor,"('Nano', 'Xavier')",480,25,70,0.604810996563574,121,62,8,70,PC,1,
Processor,PC,480,25,70,1.0,4,11,86,24,Laptop,1,
Processor,Laptop,480,25,70,0.6563573883161512,55,27,23,0,Laptop,1,
Processor,Orin,480,25,70,1.0,35,73,7,65,Laptop,1,
Processor,Xavier,480,25,70,0.604810996563574,61,62,8,70,Laptop,1,
Processor,"('Nano', 'Xavier')",480,25,70,0.604810996563574,121,62,8,70,Laptop,1,
