delta,fps,pixel,timestamp,device_type,cpu,memory,consumption,gpu
56.57247352600098,15,1080,2024-02-16 16:53:37.721492,Nano,51.1,60.143954257397866,7,35
44.78601264953613,15,1080,2024-02-16 16:53:37.792404,Nano,38.1,60.14686046717037,6,35
46.73913764953613,15,1080,2024-02-16 16:53:37.877702,Nano,35.2,60.1462336376116,6,35
50.5187873840332,15,1080,2024-02-16 16:53:37.964454,Nano,28.0,60.14668951365434,6,35
45.741355895996094,15,1080,2024-02-16 16:53:38.043620,Nano,31.1,60.15073541353371,6,35
44.70280456542969,15,1080,2024-02-16 16:53:38.125705,Nano,30.0,60.15073541353371,6,35
44.4755916595459,15,1080,2024-02-16 16:53:38.208193,Nano,30.0,60.15073541353371,6,35
51.741159439086914,15,1080,2024-02-16 16:53:38.300240,Nano,52.7,60.15073541353371,7,35
55.73562431335449,15,1080,2024-02-16 16:53:38.390621,Nano,54.9,60.17899972818391,7,35
53.93818664550781,15,1080,2024-02-16 16:53:38.472449,Nano,50.0,60.185666915309056,7,35
45.51509666442871,15,1080,2024-02-16 16:53:38.546972,Nano,37.2,60.18076624784955,6,35
48.66198348999024,15,1080,2024-02-16 16:53:38.634505,Nano,40.4,60.18099418587092,6,35
46.92987251281738,15,1080,2024-02-16 16:53:38.715663,Nano,32.7,60.18099418587092,6,35
44.20927810668945,15,1080,2024-02-16 16:53:38.795770,Nano,34.0,60.17848686763582,6,35
43.28373718261719,15,1080,2024-02-16 16:53:38.877616,Nano,30.6,60.17797400708773,6,35
44.84776306152344,15,1080,2024-02-16 16:53:38.961865,Nano,30.0,60.17774606906636,6,35
52.78376388549805,15,1080,2024-02-16 16:53:39.053438,Nano,31.5,60.177290193023616,6,35
44.46963119506836,15,1080,2024-02-16 16:53:39.127720,Nano,30.2,60.177290193023616,6,35
44.59217834472656,15,1080,2024-02-16 16:53:39.210577,Nano,32.0,60.17706225500225,6,35
45.98788070678711,15,1080,2024-02-16 16:53:39.295530,Nano,32.0,60.17706225500225,6,35
49.608028411865234,15,1080,2024-02-16 16:53:39.383891,Nano,50.0,60.18247578300984,7,35
53.17739295959473,15,1080,2024-02-16 16:53:39.470784,Nano,55.6,60.19660794033494,7,35
46.51812362670898,15,1080,2024-02-16 16:53:39.546763,Nano,36.4,60.1941576066052,6,35
47.58051681518555,15,1080,2024-02-16 16:53:39.631578,Nano,39.2,60.19347379254108,6,35
45.6202392578125,15,1080,2024-02-16 16:53:39.712133,Nano,31.3,60.19301791649833,6,35
45.07569122314453,15,1080,2024-02-16 16:53:39.795377,Nano,26.5,60.19278997847696,6,35
44.63747787475586,15,1080,2024-02-16 16:53:39.877383,Nano,31.4,60.19210616441284,6,35
46.29639434814453,15,1080,2024-02-16 16:53:39.962630,Nano,30.0,60.19165028837009,6,35
46.77609252929688,15,1080,2024-02-16 16:53:40.045380,Nano,27.5,60.19119441232734,6,35
45.187747955322266,15,1080,2024-02-16 16:53:40.126549,Nano,34.7,60.19073853628459,6,35
44.53257369995117,15,1080,2024-02-16 16:53:40.209508,Nano,28.6,60.19051059826322,6,35
44.63485527038574,15,1080,2024-02-16 16:53:40.292939,Nano,29.2,60.19051059826322,6,35
45.38182067871094,15,1080,2024-02-16 16:53:40.377486,Nano,49.0,60.19729175439906,7,35
