delta,fps,pixel,timestamp,device_type,cpu,memory,consumption,gpu
8995.25029144287,15,1080,2024-02-16 16:52:51.010588,Orin,20.6,74.36236375976631,6,35
57.93435058593749,15,1080,2024-02-16 16:52:51.079939,Orin,37.2,74.55338037320874,6,35
38.66559944152832,15,1080,2024-02-16 16:52:51.138338,Orin,20.0,74.5609752275141,6,35
39.49529609680176,15,1080,2024-02-16 16:52:51.216709,Orin,15.2,74.5582627795479,6,35
39.74801979064941,15,1080,2024-02-16 16:52:51.294223,Orin,18.8,74.5582627795479,6,35
38.4174057006836,15,1080,2024-02-16 16:52:51.370224,Orin,15.6,74.5582627795479,6,35
39.6240421295166,15,1080,2024-02-16 16:52:51.449865,Orin,14.9,74.5582627795479,6,35
39.73776779174805,15,1080,2024-02-16 16:52:51.527868,Orin,13.0,74.55982997170615,6,35
39.65694389343261,15,1080,2024-02-16 16:52:51.606030,Orin,17.4,74.55615309779641,6,35
39.62141952514648,15,1080,2024-02-16 16:52:51.684035,Orin,17.0,74.55615309779641,6,35
39.68483886718749,15,1080,2024-02-16 16:52:51.761980,Orin,25.5,74.54994460578487,6,35
38.64104232788085,15,1080,2024-02-16 16:52:51.838172,Orin,34.0,74.54994460578487,6,35
38.931197738647455,15,1080,2024-02-16 16:52:51.915794,Orin,21.3,74.55374203293755,6,35
39.71154174804688,15,1080,2024-02-16 16:52:51.993915,Orin,18.8,74.56133688724293,6,35
40.26658020019531,15,1080,2024-02-16 16:52:52.072377,Orin,17.4,74.56133688724293,6,35
39.64669189453125,15,1080,2024-02-16 16:52:52.150191,Orin,17.0,74.56133688724293,6,35
41.160411453247065,15,1080,2024-02-16 16:52:52.228772,Orin,17.0,74.56133688724293,6,35
40.40605506896973,15,1080,2024-02-16 16:52:52.305920,Orin,17.4,74.56133688724293,6,35
40.019101715087885,15,1080,2024-02-16 16:52:52.383329,Orin,13.0,74.56133688724293,6,35
39.02346572875976,15,1080,2024-02-16 16:52:52.460387,Orin,17.4,74.56133688724293,6,35
38.60861740112304,15,1080,2024-02-16 16:52:52.537810,Orin,17.0,74.55976969508468,6,35
39.54965553283691,15,1080,2024-02-16 16:52:52.616035,Orin,16.7,74.55976969508468,6,35
39.483375167846674,15,1080,2024-02-16 16:52:52.693871,Orin,17.4,74.55976969508468,6,35
38.950986480712885,15,1080,2024-02-16 16:52:52.771633,Orin,18.8,74.55976969508468,6,35
39.31052169799805,15,1080,2024-02-16 16:52:52.849843,Orin,17.4,74.55934775873439,6,35
39.03681716918945,15,1080,2024-02-16 16:52:52.927831,Orin,17.0,74.55934775873439,6,35
40.26109657287597,15,1080,2024-02-16 16:52:53.007426,Orin,14.9,74.55934775873439,6,35
39.41757164001464,15,1080,2024-02-16 16:52:53.084581,Orin,18.8,74.55934775873439,6,35
38.88709030151367,15,1080,2024-02-16 16:52:53.162033,Orin,17.0,74.55934775873439,6,35
