delta,fps,pixel,timestamp,device_type,cpu,memory,consumption,gpu
15.364885330200195,15,1080,2024-02-16 08:22:23.075024,PC,2.3,10.938836133821999,84,2
15.234708786010742,15,1080,2024-02-16 08:22:23.247282,PC,0.6,10.93559807415193,83,4
15.370368957519531,15,1080,2024-02-16 08:22:23.403381,PC,0.0,10.950821787526136,82,8
15.359163284301758,15,1080,2024-02-16 08:22:23.575604,PC,0.0,10.95036870081857,82,5
15.447378158569336,15,1080,2024-02-16 08:22:23.747578,PC,0.6,10.945958656864931,83,6
18.881559371948242,15,1080,2024-02-16 08:22:23.904518,PC,0.0,10.94125863741845,82,6
15.367507934570312,15,1080,2024-02-16 08:22:24.060856,PC,1.9,10.94201378193106,84,5
15.367746353149414,15,1080,2024-02-16 08:22:24.217216,PC,0.6,10.937446667918797,83,6
15.366554260253906,15,1080,2024-02-16 08:22:24.374114,PC,0.6,10.950205589603847,83,11
15.364408493041992,15,1080,2024-02-16 08:22:24.531169,PC,1.2,10.952585805107592,83,11
15.368461608886719,15,1080,2024-02-16 08:22:24.687492,PC,0.6,10.948036814563633,83,7
15.36250114440918,15,1080,2024-02-16 08:22:24.844597,PC,0.6,10.943173683902426,83,7
15.63119888305664,15,1080,2024-02-16 08:22:25.063415,PC,3.1,10.942895790721789,85,12
15.367507934570312,15,1080,2024-02-16 08:22:25.235849,PC,1.8,10.938407211738836,84,2
15.362977981567383,15,1080,2024-02-16 08:22:25.407908,PC,0.6,10.950145178042838,83,16
15.369176864624023,15,1080,2024-02-16 08:22:25.579992,PC,0.6,10.953691336674053,83,10
15.476703643798828,15,1080,2024-02-16 08:22:25.772995,PC,0.6,10.950133095730637,83,11
15.369415283203125,15,1080,2024-02-16 08:22:25.940730,PC,0.5,10.94614593270406,83,10
15.363454818725586,15,1080,2024-02-16 08:22:26.112707,PC,2.3,10.94995790220371,84,10
15.357255935668945,15,1080,2024-02-16 08:22:26.285298,PC,0.6,10.949408156998532,83,10
