delta,fps,pixel,device_type,cpu,memory,consumption,gpu,in_time,consumer_location,cumm_net_delay,latency_slo
47,15,1080,Laptop,28,26,20,0,True,PC,67,False
43,15,1080,Laptop,50,26,22,0,True,PC,63,False
41,15,1080,Laptop,50,26,22,0,True,PC,61,False
37,15,1080,Laptop,51,26,22,0,True,PC,57,False
37,15,1080,Laptop,52,26,22,0,True,PC,57,False
38,15,1080,Laptop,50,26,22,0,True,PC,58,False
37,15,1080,Laptop,48,26,22,0,True,PC,57,False
38,15,1080,Laptop,49,26,22,0,True,PC,58,False
37,15,1080,Laptop,48,26,22,0,True,PC,57,False
40,15,1080,Laptop,50,26,22,0,True,PC,60,False
37,15,1080,Laptop,49,26,22,0,True,PC,57,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
37,15,1080,Laptop,48,26,22,0,True,PC,57,False
40,15,1080,Laptop,50,26,22,0,True,PC,60,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
37,15,1080,Laptop,47,26,22,0,True,PC,57,False
41,15,1080,Laptop,50,26,22,0,True,PC,61,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
38,15,1080,Laptop,48,26,22,0,True,PC,58,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
40,15,1080,Laptop,49,26,22,0,True,PC,60,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
37,15,1080,Laptop,49,26,22,0,True,PC,57,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
40,15,1080,Laptop,49,26,22,0,True,PC,60,False
38,15,1080,Laptop,50,26,22,0,True,PC,58,False
37,15,1080,Laptop,47,26,22,0,True,PC,57,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
40,15,1080,Laptop,50,26,22,0,True,PC,60,False
37,15,1080,Laptop,48,26,22,0,True,PC,57,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
36,15,1080,Laptop,49,26,22,0,True,PC,56,False
41,15,1080,Laptop,50,26,22,0,True,PC,61,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
37,15,1080,Laptop,48,26,22,0,True,PC,57,False
36,15,1080,Laptop,50,26,22,0,True,PC,56,False
41,15,1080,Laptop,49,26,22,0,True,PC,61,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
37,15,1080,Laptop,48,26,22,0,True,PC,57,False
41,15,1080,Laptop,49,26,22,0,True,PC,61,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
36,15,1080,Laptop,48,26,22,0,True,PC,56,False
41,15,1080,Laptop,49,26,22,0,True,PC,61,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
38,15,1080,Laptop,50,26,22,0,True,PC,58,False
37,15,1080,Laptop,48,26,22,0,True,PC,57,False
41,15,1080,Laptop,49,26,22,0,True,PC,61,False
37,15,1080,Laptop,49,26,22,0,True,PC,57,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
38,15,1080,Laptop,49,26,22,0,True,PC,58,False
42,15,1080,Laptop,50,26,22,0,True,PC,62,False
36,15,1080,Laptop,48,26,22,0,True,PC,56,False
37,15,1080,Laptop,48,26,22,0,True,PC,57,False
37,15,1080,Laptop,49,26,22,0,True,PC,57,False
40,15,1080,Laptop,49,26,22,0,True,PC,60,False
37,15,1080,Laptop,49,26,22,0,True,PC,57,False
38,15,1080,Laptop,50,26,22,0,True,PC,58,False
38,15,1080,Laptop,49,26,22,0,True,PC,58,False
40,15,1080,Laptop,48,26,22,0,True,PC,60,False
37,15,1080,Laptop,51,26,22,0,True,PC,57,False
38,15,1080,Laptop,49,26,22,0,True,PC,58,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
41,15,1080,Laptop,48,26,22,0,True,PC,61,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
39,15,1080,Laptop,49,26,22,0,True,PC,59,False
38,15,1080,Laptop,50,26,22,0,True,PC,58,False
42,15,1080,Laptop,48,26,22,0,True,PC,62,False
38,15,1080,Laptop,50,26,22,0,True,PC,58,False
38,15,1080,Laptop,49,26,22,0,True,PC,58,False
37,15,1080,Laptop,49,26,22,0,True,PC,57,False
40,15,1080,Laptop,49,26,22,0,True,PC,60,False
36,15,1080,Laptop,50,26,22,0,True,PC,56,False
37,15,1080,Laptop,48,26,22,0,True,PC,57,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
41,15,1080,Laptop,51,26,22,0,True,PC,61,False
37,15,1080,Laptop,47,26,22,0,True,PC,57,False
37,15,1080,Laptop,49,26,22,0,True,PC,57,False
36,15,1080,Laptop,50,26,22,0,True,PC,56,False
40,15,1080,Laptop,49,26,22,0,True,PC,60,False
37,15,1080,Laptop,49,26,22,0,True,PC,57,False
37,15,1080,Laptop,49,26,22,0,True,PC,57,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
40,15,1080,Laptop,49,26,22,0,True,PC,60,False
38,15,1080,Laptop,51,26,22,0,True,PC,58,False
38,15,1080,Laptop,47,26,22,0,True,PC,58,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
41,15,1080,Laptop,50,26,22,0,True,PC,61,False
38,15,1080,Laptop,50,26,22,0,True,PC,58,False
38,15,1080,Laptop,48,26,22,0,True,PC,58,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
41,15,1080,Laptop,50,26,22,0,True,PC,61,False
38,15,1080,Laptop,51,26,22,0,True,PC,58,False
37,15,1080,Laptop,48,26,22,0,True,PC,57,False
36,15,1080,Laptop,49,26,22,0,True,PC,56,False
43,15,1080,Laptop,50,26,22,0,True,PC,63,False
38,15,1080,Laptop,50,26,22,0,True,PC,58,False
37,15,1080,Laptop,48,26,22,0,True,PC,57,False
37,15,1080,Laptop,49,26,22,0,True,PC,57,False
41,15,1080,Laptop,50,26,22,0,True,PC,61,False
38,15,1080,Laptop,49,26,22,0,True,PC,58,False
37,15,1080,Laptop,48,26,22,0,True,PC,57,False
37,15,1080,Laptop,48,26,22,0,True,PC,57,False
42,15,1080,Laptop,51,26,22,0,True,PC,62,False
37,15,1080,Laptop,49,26,22,0,True,PC,57,False
37,15,1080,Laptop,48,26,22,0,True,PC,57,False
37,15,1080,Laptop,49,26,22,0,True,PC,57,False
42,15,1080,Laptop,50,26,22,0,True,PC,62,False
38,15,1080,Laptop,50,26,22,0,True,PC,58,False
37,15,1080,Laptop,49,26,22,0,True,PC,57,False
37,15,1080,Laptop,49,26,22,0,True,PC,57,False
42,15,1080,Laptop,49,26,22,0,True,PC,62,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
38,15,1080,Laptop,48,26,22,0,True,PC,58,False
41,15,1080,Laptop,48,26,22,0,True,PC,61,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
38,15,1080,Laptop,49,26,22,0,True,PC,58,False
40,15,1080,Laptop,50,26,22,0,True,PC,60,False
37,15,1080,Laptop,49,26,22,0,True,PC,57,False
38,15,1080,Laptop,49,26,22,0,True,PC,58,False
38,15,1080,Laptop,49,26,22,0,True,PC,58,False
41,15,1080,Laptop,50,26,22,0,True,PC,61,False
38,15,1080,Laptop,48,26,22,0,True,PC,58,False
38,15,1080,Laptop,48,26,22,0,True,PC,58,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
41,15,1080,Laptop,51,26,22,0,True,PC,61,False
37,15,1080,Laptop,49,26,22,0,True,PC,57,False
38,15,1080,Laptop,48,26,22,0,True,PC,58,False
38,15,1080,Laptop,49,26,22,0,True,PC,58,False
41,15,1080,Laptop,50,26,22,0,True,PC,61,False
37,15,1080,Laptop,49,26,22,0,True,PC,57,False
38,15,1080,Laptop,48,26,22,0,True,PC,58,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
41,15,1080,Laptop,50,26,22,0,True,PC,61,False
38,15,1080,Laptop,49,26,22,0,True,PC,58,False
37,15,1080,Laptop,48,26,22,0,True,PC,57,False
37,15,1080,Laptop,49,26,22,0,True,PC,57,False
41,15,1080,Laptop,49,26,22,0,True,PC,61,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
37,15,1080,Laptop,48,26,22,0,True,PC,57,False
40,15,1080,Laptop,50,26,22,0,True,PC,60,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
38,15,1080,Laptop,49,26,22,0,True,PC,58,False
36,15,1080,Laptop,48,26,22,0,True,PC,56,False
41,15,1080,Laptop,49,26,22,0,True,PC,61,False
37,15,1080,Laptop,48,26,22,0,True,PC,57,False
38,15,1080,Laptop,48,26,22,0,True,PC,58,False
37,15,1080,Laptop,48,26,22,0,True,PC,57,False
42,15,1080,Laptop,51,26,22,0,True,PC,62,False
38,15,1080,Laptop,49,26,22,0,True,PC,58,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
36,15,1080,Laptop,48,26,22,0,True,PC,56,False
42,15,1080,Laptop,51,26,22,0,True,PC,62,False
38,15,1080,Laptop,49,26,22,0,True,PC,58,False
38,15,1080,Laptop,49,26,22,0,True,PC,58,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
42,15,1080,Laptop,50,26,22,0,True,PC,62,False
37,15,1080,Laptop,48,26,22,0,True,PC,57,False
37,15,1080,Laptop,50,26,22,0,True,PC,57,False
