device_type,cpu,consumption,delta,fps,pixel,in_time
Laptop,35,21,46,15,1080,True
Laptop,52,22,43,15,1080,True
Laptop,50,22,36,15,1080,True
Laptop,49,22,41,15,1080,True
Laptop,51,22,37,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,51,22,36,15,1080,True
Laptop,49,22,37,15,1080,True
Laptop,49,22,37,15,1080,True
Laptop,49,22,40,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,51,22,41,15,1080,True
Laptop,50,22,36,15,1080,True
Laptop,49,22,36,15,1080,True
Laptop,50,22,36,15,1080,True
Laptop,50,22,40,15,1080,True
Laptop,48,22,36,15,1080,True
Laptop,51,22,38,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,49,22,40,15,1080,True
Laptop,50,22,38,15,1080,True
Laptop,49,22,39,15,1080,True
Laptop,49,22,36,15,1080,True
Laptop,52,22,41,15,1080,True
Laptop,50,22,36,15,1080,True
Laptop,48,22,37,15,1080,True
Laptop,51,22,37,15,1080,True
Laptop,52,22,41,15,1080,True
Laptop,50,22,36,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,52,22,36,15,1080,True
Laptop,50,22,40,15,1080,True
Laptop,51,22,38,15,1080,True
Laptop,49,22,37,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,52,22,42,15,1080,True
Laptop,50,22,38,15,1080,True
Laptop,48,22,38,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,51,22,41,15,1080,True
Laptop,48,22,36,15,1080,True
Laptop,50,22,38,15,1080,True
Laptop,52,22,37,15,1080,True
Laptop,51,22,41,15,1080,True
Laptop,51,22,37,15,1080,True
Laptop,48,22,37,15,1080,True
Laptop,50,22,36,15,1080,True
Laptop,51,22,43,15,1080,True
Laptop,51,22,38,15,1080,True
Laptop,49,22,39,15,1080,True
Laptop,49,22,37,15,1080,True
Laptop,51,22,40,15,1080,True
Laptop,49,22,37,15,1080,True
Laptop,51,22,38,15,1080,True
Laptop,49,22,36,15,1080,True
Laptop,50,22,41,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,50,22,36,15,1080,True
Laptop,52,22,42,15,1080,True
Laptop,51,22,36,15,1080,True
Laptop,49,22,37,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,51,22,41,15,1080,True
Laptop,50,22,36,15,1080,True
Laptop,49,22,38,15,1080,True
Laptop,49,22,37,15,1080,True
Laptop,49,22,40,15,1080,True
Laptop,49,22,37,15,1080,True
Laptop,50,22,38,15,1080,True
Laptop,48,22,37,15,1080,True
Laptop,51,22,42,15,1080,True
Laptop,50,22,36,15,1080,True
Laptop,49,22,37,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,51,22,43,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,50,22,38,15,1080,True
Laptop,49,22,37,15,1080,True
Laptop,49,22,40,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,48,22,36,15,1080,True
Laptop,49,22,41,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,51,22,37,15,1080,True
Laptop,50,22,40,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,49,22,38,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,49,22,41,15,1080,True
Laptop,52,22,38,15,1080,True
Laptop,50,22,38,15,1080,True
Laptop,47,22,36,15,1080,True
Laptop,50,22,42,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,50,22,38,15,1080,True
