delta,fps,pixel,device_type,cpu,consumption,gpu,in_time
50,15,1080,Laptop,28,20,,True
41,15,1080,Laptop,51,22,,True
36,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,51,22,,True
36,15,1080,Laptop,51,22,,True
40,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,51,22,,True
36,15,1080,Laptop,49,22,,True
36,15,1080,Laptop,50,22,,True
40,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,49,22,,True
36,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,50,22,,True
40,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,50,22,,True
35,15,1080,Laptop,51,22,,True
40,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,49,22,,True
36,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,49,22,,True
40,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,49,22,,True
40,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,48,22,,True
40,15,1080,Laptop,52,22,,True
36,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,49,22,,True
36,15,1080,Laptop,49,22,,True
39,15,1080,Laptop,51,22,,True
36,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,48,22,,True
35,15,1080,Laptop,50,22,,True
40,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,50,22,,True
40,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,52,22,,True
36,15,1080,Laptop,48,22,,True
40,15,1080,Laptop,49,22,,True
36,15,1080,Laptop,51,22,,True
36,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,48,22,,True
40,15,1080,Laptop,51,22,,True
37,15,1080,Laptop,51,22,,True
36,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,48,22,,True
40,15,1080,Laptop,52,22,,True
36,15,1080,Laptop,51,22,,True
36,15,1080,Laptop,50,22,,True
35,15,1080,Laptop,49,22,,True
41,15,1080,Laptop,51,22,,True
36,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,50,22,,True
40,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,50,22,,True
40,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,48,22,,True
40,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,51,22,,True
36,15,1080,Laptop,48,22,,True
40,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,48,22,,True
41,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,49,22,,True
40,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,49,22,,True
37,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,49,22,,True
40,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,49,22,,True
36,15,1080,Laptop,50,22,,True
40,15,1080,Laptop,49,22,,True
36,15,1080,Laptop,51,22,,True
37,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,47,22,,True
40,15,1080,Laptop,51,22,,True
37,15,1080,Laptop,51,22,,True
37,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,50,22,,True
40,15,1080,Laptop,51,22,,True
36,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,49,22,,True
36,15,1080,Laptop,49,22,,True
41,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,49,22,,True
37,15,1080,Laptop,49,22,,True
36,15,1080,Laptop,51,22,,True
40,15,1080,Laptop,52,22,,True
36,15,1080,Laptop,47,22,,True
36,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,51,22,,True
40,15,1080,Laptop,49,22,,True
36,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,48,22,,True
41,15,1080,Laptop,51,22,,True
37,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,50,22,,True
41,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,51,22,,True
36,15,1080,Laptop,48,22,,True
36,15,1080,Laptop,48,22,,True
41,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,51,22,,True
36,15,1080,Laptop,50,22,,True
41,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,51,22,,True
41,15,1080,Laptop,51,22,,True
36,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,50,22,,True
40,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,48,22,,True
40,15,1080,Laptop,51,22,,True
37,15,1080,Laptop,51,22,,True
37,15,1080,Laptop,49,22,,True
36,15,1080,Laptop,51,22,,True
41,15,1080,Laptop,51,22,,True
37,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,50,22,,True
41,15,1080,Laptop,52,22,,True
36,15,1080,Laptop,48,22,,True
37,15,1080,Laptop,52,22,,True
37,15,1080,Laptop,52,22,,True
40,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,52,22,,True
36,15,1080,Laptop,51,22,,True
40,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,49,22,,True
41,15,1080,Laptop,51,22,,True
37,15,1080,Laptop,49,22,,True
37,15,1080,Laptop,51,22,,True
36,15,1080,Laptop,51,22,,True
40,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,52,22,,True
37,15,1080,Laptop,48,22,,True
36,15,1080,Laptop,52,22,,True
41,15,1080,Laptop,52,22,,True
37,15,1080,Laptop,51,22,,True
37,15,1080,Laptop,49,22,,True
36,15,1080,Laptop,51,22,,True
41,15,1080,Laptop,52,22,,True
36,15,1080,Laptop,49,22,,True
37,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,51,22,,True
41,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,51,22,,True
37,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,50,22,,True
40,15,1080,Laptop,50,22,,True
36,15,1080,Laptop,51,22,,True
37,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,49,22,,True
40,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,50,22,,True
41,15,1080,Laptop,49,22,,True
37,15,1080,Laptop,50,22,,True
38,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,50,22,,True
42,15,1080,Laptop,51,22,,True
37,15,1080,Laptop,48,22,,True
37,15,1080,Laptop,50,22,,True
38,15,1080,Laptop,51,22,,True
41,15,1080,Laptop,52,22,,True
37,15,1080,Laptop,47,22,,True
39,15,1080,Laptop,51,22,,True
38,15,1080,Laptop,50,22,,True
42,15,1080,Laptop,50,22,,True
37,15,1080,Laptop,51,22,,True
39,15,1080,Laptop,51,22,,True
37,15,1080,Laptop,50,22,,True
41,15,1080,Laptop,50,22,,True
38,15,1080,Laptop,50,22,,True
38,15,1080,Laptop,50,22,,True
38,15,1080,Laptop,48,22,,True
42,15,1080,Laptop,50,22,,True
38,15,1080,Laptop,52,22,,True
38,15,1080,Laptop,49,22,,True
38,15,1080,Laptop,50,22,,True
42,15,1080,Laptop,52,22,,True
38,15,1080,Laptop,49,22,,True
39,15,1080,Laptop,49,22,,True
40,15,1080,Laptop,50,22,,True
45,15,1080,Laptop,51,22,,True
39,15,1080,Laptop,50,22,,True
39,15,1080,Laptop,50,22,,True
